"Notes"	"State"	"State Code"	"Month, Year"	"Month, Year Code"	Avg Daily Precipitation (mm)	# of Observations for Daily Precipitation	Min Daily Precipitation	Max Daily Precipitation
	"Alabama"	"01"	"Jan, 1979"	"1979/01"	6.02	25482	0.00	82.00
	"Alabama"	"01"	"Feb, 1979"	"1979/02"	6.06	23016	0.00	76.40
	"Alabama"	"01"	"Mar, 1979"	"1979/03"	5.25	25482	0.00	142.00
	"Alabama"	"01"	"Apr, 1979"	"1979/04"	8.58	24660	0.00	147.30
	"Alabama"	"01"	"May, 1979"	"1979/05"	3.99	25482	0.00	60.80
	"Alabama"	"01"	"Jun, 1979"	"1979/06"	1.83	24660	0.00	42.50
	"Alabama"	"01"	"Jul, 1979"	"1979/07"	6.31	25482	0.00	59.30
	"Alabama"	"01"	"Aug, 1979"	"1979/08"	3.50	25482	0.00	37.20
	"Alabama"	"01"	"Sep, 1979"	"1979/09"	5.90	24660	0.00	133.60
	"Alabama"	"01"	"Oct, 1979"	"1979/10"	1.69	25482	0.00	80.50
	"Alabama"	"01"	"Nov, 1979"	"1979/11"	4.72	24660	0.00	54.90
	"Alabama"	"01"	"Dec, 1979"	"1979/12"	2.18	25482	0.00	55.10
	"Alabama"	"01"	"Jan, 1980"	"1980/01"	4.59	25482	0.00	56.30
	"Alabama"	"01"	"Feb, 1980"	"1980/02"	2.19	23838	0.00	46.30
	"Alabama"	"01"	"Mar, 1980"	"1980/03"	11.41	25482	0.00	99.30
	"Alabama"	"01"	"Apr, 1980"	"1980/04"	6.50	24660	0.00	117.80
	"Alabama"	"01"	"May, 1980"	"1980/05"	5.84	25482	0.00	111.10
	"Alabama"	"01"	"Jun, 1980"	"1980/06"	2.78	24660	0.00	71.70
	"Alabama"	"01"	"Jul, 1980"	"1980/07"	2.45	25482	0.00	44.40
	"Alabama"	"01"	"Aug, 1980"	"1980/08"	2.07	25482	0.00	34.80
	"Alabama"	"01"	"Sep, 1980"	"1980/09"	4.27	24660	0.00	79.00
	"Alabama"	"01"	"Oct, 1980"	"1980/10"	3.02	25482	0.00	68.30
	"Alabama"	"01"	"Nov, 1980"	"1980/11"	2.72	24660	0.00	51.80
	"Alabama"	"01"	"Dec, 1980"	"1980/12"	0.95	25482	0.00	26.00
	"Alabama"	"01"	"Jan, 1981"	"1981/01"	1.15	25482	0.00	25.70
	"Alabama"	"01"	"Feb, 1981"	"1981/02"	5.46	23016	0.00	131.00
	"Alabama"	"01"	"Mar, 1981"	"1981/03"	4.91	25482	0.00	82.30
	"Alabama"	"01"	"Apr, 1981"	"1981/04"	2.41	24660	0.00	87.70
	"Alabama"	"01"	"May, 1981"	"1981/05"	3.38	25482	0.00	74.20
	"Alabama"	"01"	"Jun, 1981"	"1981/06"	2.77	24660	0.00	45.90
	"Alabama"	"01"	"Jul, 1981"	"1981/07"	2.99	25482	0.00	52.20
	"Alabama"	"01"	"Aug, 1981"	"1981/08"	4.16	25482	0.00	53.50
	"Alabama"	"01"	"Sep, 1981"	"1981/09"	1.50	24660	0.00	37.60
	"Alabama"	"01"	"Oct, 1981"	"1981/10"	2.57	25482	0.00	48.60
	"Alabama"	"01"	"Nov, 1981"	"1981/11"	1.94	24660	0.00	48.70
	"Alabama"	"01"	"Dec, 1981"	"1981/12"	5.17	25482	0.00	62.10
	"Alabama"	"01"	"Jan, 1982"	"1982/01"	5.21	25482	0.00	100.50
	"Alabama"	"01"	"Feb, 1982"	"1982/02"	6.49	23016	0.00	121.80
	"Alabama"	"01"	"Mar, 1982"	"1982/03"	2.42	25482	0.00	56.70
	"Alabama"	"01"	"Apr, 1982"	"1982/04"	6.40	24660	0.00	80.40
	"Alabama"	"01"	"May, 1982"	"1982/05"	2.61	25482	0.00	59.40
	"Alabama"	"01"	"Jun, 1982"	"1982/06"	4.24	24660	0.00	89.70
	"Alabama"	"01"	"Jul, 1982"	"1982/07"	5.40	25482	0.00	57.80
	"Alabama"	"01"	"Aug, 1982"	"1982/08"	2.60	25482	0.00	45.50
	"Alabama"	"01"	"Sep, 1982"	"1982/09"	1.67	24660	0.00	34.30
	"Alabama"	"01"	"Oct, 1982"	"1982/10"	2.15	25482	0.00	55.80
	"Alabama"	"01"	"Nov, 1982"	"1982/11"	5.23	24660	0.00	56.50
	"Alabama"	"01"	"Dec, 1982"	"1982/12"	6.41	25482	0.00	67.30
	"Alabama"	"01"	"Jan, 1983"	"1983/01"	3.46	25482	0.00	52.20
	"Alabama"	"01"	"Feb, 1983"	"1983/02"	7.44	23016	0.00	164.10
	"Alabama"	"01"	"Mar, 1983"	"1983/03"	5.85	25482	0.00	88.40
	"Alabama"	"01"	"Apr, 1983"	"1983/04"	7.60	24660	0.00	114.70
	"Alabama"	"01"	"May, 1983"	"1983/05"	5.29	25482	0.00	88.30
	"Alabama"	"01"	"Jun, 1983"	"1983/06"	4.96	24660	0.00	62.00
	"Alabama"	"01"	"Jul, 1983"	"1983/07"	1.92	25482	0.00	49.80
	"Alabama"	"01"	"Aug, 1983"	"1983/08"	2.13	25482	0.00	33.10
	"Alabama"	"01"	"Sep, 1983"	"1983/09"	3.79	24660	0.00	52.20
	"Alabama"	"01"	"Oct, 1983"	"1983/10"	1.96	25482	0.00	62.60
	"Alabama"	"01"	"Nov, 1983"	"1983/11"	6.32	24660	0.00	82.50
	"Alabama"	"01"	"Dec, 1983"	"1983/12"	7.29	25482	0.00	86.60
	"Alabama"	"01"	"Jan, 1984"	"1984/01"	3.33	25482	0.00	48.50
	"Alabama"	"01"	"Feb, 1984"	"1984/02"	3.52	23838	0.00	54.40
	"Alabama"	"01"	"Mar, 1984"	"1984/03"	4.04	25482	0.00	70.00
	"Alabama"	"01"	"Apr, 1984"	"1984/04"	4.59	24660	0.00	47.90
	"Alabama"	"01"	"May, 1984"	"1984/05"	4.75	25482	0.00	54.80
	"Alabama"	"01"	"Jun, 1984"	"1984/06"	2.08	24660	0.00	42.70
	"Alabama"	"01"	"Jul, 1984"	"1984/07"	4.88	25482	0.00	59.20
	"Alabama"	"01"	"Aug, 1984"	"1984/08"	4.06	25482	0.00	97.90
	"Alabama"	"01"	"Sep, 1984"	"1984/09"	0.53	24660	0.00	21.00
	"Alabama"	"01"	"Oct, 1984"	"1984/10"	4.36	25482	0.00	74.00
	"Alabama"	"01"	"Nov, 1984"	"1984/11"	3.36	24660	0.00	73.80
	"Alabama"	"01"	"Dec, 1984"	"1984/12"	2.24	25482	0.00	56.10
	"Alabama"	"01"	"Jan, 1985"	"1985/01"	3.61	25482	0.00	58.20
	"Alabama"	"01"	"Feb, 1985"	"1985/02"	5.29	23016	0.00	80.00
	"Alabama"	"01"	"Mar, 1985"	"1985/03"	2.12	25482	0.00	66.30
	"Alabama"	"01"	"Apr, 1985"	"1985/04"	2.50	24660	0.00	62.30
	"Alabama"	"01"	"May, 1985"	"1985/05"	3.26	25482	0.00	89.30
	"Alabama"	"01"	"Jun, 1985"	"1985/06"	3.31	24660	0.00	47.10
	"Alabama"	"01"	"Jul, 1985"	"1985/07"	5.67	25482	0.00	72.60
	"Alabama"	"01"	"Aug, 1985"	"1985/08"	3.81	25482	0.00	65.80
	"Alabama"	"01"	"Sep, 1985"	"1985/09"	3.24	24660	0.00	67.60
	"Alabama"	"01"	"Oct, 1985"	"1985/10"	4.36	25482	0.00	77.10
	"Alabama"	"01"	"Nov, 1985"	"1985/11"	2.25	24660	0.00	75.60
	"Alabama"	"01"	"Dec, 1985"	"1985/12"	3.26	25482	0.00	56.10
	"Alabama"	"01"	"Jan, 1986"	"1986/01"	1.16	25482	0.00	46.30
	"Alabama"	"01"	"Feb, 1986"	"1986/02"	3.42	23016	0.00	57.60
	"Alabama"	"01"	"Mar, 1986"	"1986/03"	3.55	25482	0.00	76.40
	"Alabama"	"01"	"Apr, 1986"	"1986/04"	0.61	24660	0.00	33.50
	"Alabama"	"01"	"May, 1986"	"1986/05"	4.16	25482	0.00	65.60
	"Alabama"	"01"	"Jun, 1986"	"1986/06"	2.37	24660	0.00	48.60
	"Alabama"	"01"	"Jul, 1986"	"1986/07"	3.08	25482	0.00	62.80
	"Alabama"	"01"	"Aug, 1986"	"1986/08"	3.58	25482	0.00	47.80
	"Alabama"	"01"	"Sep, 1986"	"1986/09"	3.09	24660	0.00	56.30
	"Alabama"	"01"	"Oct, 1986"	"1986/10"	3.39	25482	0.00	65.30
	"Alabama"	"01"	"Nov, 1986"	"1986/11"	7.74	24660	0.00	82.30
	"Alabama"	"01"	"Dec, 1986"	"1986/12"	2.95	25482	0.00	58.40
	"Alabama"	"01"	"Jan, 1987"	"1987/01"	5.06	25482	0.00	90.00
	"Alabama"	"01"	"Feb, 1987"	"1987/02"	7.03	23016	0.00	59.80
	"Alabama"	"01"	"Mar, 1987"	"1987/03"	3.74	25482	0.00	51.80
	"Alabama"	"01"	"Apr, 1987"	"1987/04"	0.81	24660	0.00	27.70
	"Alabama"	"01"	"May, 1987"	"1987/05"	3.62	25482	0.00	55.80
	"Alabama"	"01"	"Jun, 1987"	"1987/06"	5.03	24660	0.00	60.60
	"Alabama"	"01"	"Jul, 1987"	"1987/07"	2.44	25482	0.00	43.50
	"Alabama"	"01"	"Aug, 1987"	"1987/08"	2.94	25482	0.00	84.50
	"Alabama"	"01"	"Sep, 1987"	"1987/09"	2.50	24660	0.00	44.70
	"Alabama"	"01"	"Oct, 1987"	"1987/10"	0.47	25482	0.00	24.20
	"Alabama"	"01"	"Nov, 1987"	"1987/11"	3.49	24660	0.00	62.50
	"Alabama"	"01"	"Dec, 1987"	"1987/12"	3.40	25482	0.00	58.90
	"Alabama"	"01"	"Jan, 1988"	"1988/01"	4.29	25482	0.00	62.00
	"Alabama"	"01"	"Feb, 1988"	"1988/02"	3.31	23838	0.00	80.00
	"Alabama"	"01"	"Mar, 1988"	"1988/03"	3.45	25482	0.00	65.30
	"Alabama"	"01"	"Apr, 1988"	"1988/04"	3.26	24660	0.00	60.60
	"Alabama"	"01"	"May, 1988"	"1988/05"	1.43	25482	0.00	33.40
	"Alabama"	"01"	"Jun, 1988"	"1988/06"	1.24	24660	0.00	38.30
	"Alabama"	"01"	"Jul, 1988"	"1988/07"	5.30	25482	0.00	60.10
	"Alabama"	"01"	"Aug, 1988"	"1988/08"	2.73	25482	0.00	69.70
	"Alabama"	"01"	"Sep, 1988"	"1988/09"	7.51	24660	0.00	86.40
	"Alabama"	"01"	"Oct, 1988"	"1988/10"	2.58	25482	0.00	49.70
	"Alabama"	"01"	"Nov, 1988"	"1988/11"	4.65	24660	0.00	52.20
	"Alabama"	"01"	"Dec, 1988"	"1988/12"	3.20	25482	0.00	67.90
	"Alabama"	"01"	"Jan, 1989"	"1989/01"	3.27	25482	0.00	81.20
	"Alabama"	"01"	"Feb, 1989"	"1989/02"	3.96	23016	0.00	80.80
	"Alabama"	"01"	"Mar, 1989"	"1989/03"	5.34	25482	0.00	62.40
	"Alabama"	"01"	"Apr, 1989"	"1989/04"	3.92	24660	0.00	63.40
	"Alabama"	"01"	"May, 1989"	"1989/05"	3.64	25482	0.00	57.80
	"Alabama"	"01"	"Jun, 1989"	"1989/06"	9.08	24660	0.00	103.90
	"Alabama"	"01"	"Jul, 1989"	"1989/07"	6.24	25482	0.00	72.60
	"Alabama"	"01"	"Aug, 1989"	"1989/08"	1.98	25482	0.00	35.90
	"Alabama"	"01"	"Sep, 1989"	"1989/09"	5.09	24660	0.00	93.90
	"Alabama"	"01"	"Oct, 1989"	"1989/10"	1.37	25482	0.00	58.80
	"Alabama"	"01"	"Nov, 1989"	"1989/11"	5.01	24660	0.00	101.60
	"Alabama"	"01"	"Dec, 1989"	"1989/12"	4.88	25482	0.00	100.60
	"Alabama"	"01"	"Jan, 1990"	"1990/01"	6.70	25482	0.00	82.00
	"Alabama"	"01"	"Feb, 1990"	"1990/02"	7.61	23016	0.00	93.30
	"Alabama"	"01"	"Mar, 1990"	"1990/03"	6.73	25482	0.00	147.80
	"Alabama"	"01"	"Apr, 1990"	"1990/04"	2.85	24660	0.00	40.90
	"Alabama"	"01"	"May, 1990"	"1990/05"	4.16	25482	0.00	105.40
	"Alabama"	"01"	"Jun, 1990"	"1990/06"	2.45	24660	0.00	45.00
	"Alabama"	"01"	"Jul, 1990"	"1990/07"	3.16	25482	0.00	59.70
	"Alabama"	"01"	"Aug, 1990"	"1990/08"	1.51	25482	0.00	30.00
	"Alabama"	"01"	"Sep, 1990"	"1990/09"	1.57	24660	0.00	41.40
	"Alabama"	"01"	"Oct, 1990"	"1990/10"	2.11	25482	0.00	58.90
	"Alabama"	"01"	"Nov, 1990"	"1990/11"	2.53	24660	0.00	88.70
	"Alabama"	"01"	"Dec, 1990"	"1990/12"	4.92	25482	0.00	147.80
	"Alabama"	"01"	"Jan, 1991"	"1991/01"	5.86	25482	0.00	84.40
	"Alabama"	"01"	"Feb, 1991"	"1991/02"	4.76	23016	0.00	111.20
	"Alabama"	"01"	"Mar, 1991"	"1991/03"	5.82	25482	0.00	91.10
	"Alabama"	"01"	"Apr, 1991"	"1991/04"	5.91	24660	0.00	72.60
	"Alabama"	"01"	"May, 1991"	"1991/05"	7.70	25482	0.00	63.80
	"Alabama"	"01"	"Jun, 1991"	"1991/06"	4.10	24660	0.00	48.80
	"Alabama"	"01"	"Jul, 1991"	"1991/07"	3.56	25482	0.00	47.00
	"Alabama"	"01"	"Aug, 1991"	"1991/08"	3.23	25482	0.00	48.40
	"Alabama"	"01"	"Sep, 1991"	"1991/09"	2.70	24660	0.00	77.40
	"Alabama"	"01"	"Oct, 1991"	"1991/10"	0.77	25482	0.00	36.60
	"Alabama"	"01"	"Nov, 1991"	"1991/11"	3.97	24660	0.00	99.10
	"Alabama"	"01"	"Dec, 1991"	"1991/12"	4.23	25482	0.00	123.60
	"Alabama"	"01"	"Jan, 1992"	"1992/01"	5.04	25482	0.00	90.60
	"Alabama"	"01"	"Feb, 1992"	"1992/02"	5.31	23838	0.00	79.10
	"Alabama"	"01"	"Mar, 1992"	"1992/03"	3.29	25482	0.00	54.90
	"Alabama"	"01"	"Apr, 1992"	"1992/04"	2.45	24660	0.00	62.30
	"Alabama"	"01"	"May, 1992"	"1992/05"	1.60	25482	0.00	56.90
	"Alabama"	"01"	"Jun, 1992"	"1992/06"	4.77	24660	0.00	93.60
	"Alabama"	"01"	"Jul, 1992"	"1992/07"	4.75	25482	0.00	43.50
	"Alabama"	"01"	"Aug, 1992"	"1992/08"	4.74	25482	0.00	72.90
	"Alabama"	"01"	"Sep, 1992"	"1992/09"	3.14	24660	0.00	58.50
	"Alabama"	"01"	"Oct, 1992"	"1992/10"	2.10	25482	0.00	57.30
	"Alabama"	"01"	"Nov, 1992"	"1992/11"	7.96	24660	0.00	114.90
	"Alabama"	"01"	"Dec, 1992"	"1992/12"	4.64	25482	0.00	112.00
	"Alabama"	"01"	"Jan, 1993"	"1993/01"	5.05	25482	0.00	91.40
	"Alabama"	"01"	"Feb, 1993"	"1993/02"	3.30	23016	0.00	42.00
	"Alabama"	"01"	"Mar, 1993"	"1993/03"	5.27	25482	0.00	62.60
	"Alabama"	"01"	"Apr, 1993"	"1993/04"	2.75	24660	0.00	43.90
	"Alabama"	"01"	"May, 1993"	"1993/05"	3.16	25482	0.00	73.70
	"Alabama"	"01"	"Jun, 1993"	"1993/06"	2.80	24660	0.00	48.50
	"Alabama"	"01"	"Jul, 1993"	"1993/07"	2.30	25482	0.00	37.50
	"Alabama"	"01"	"Aug, 1993"	"1993/08"	3.88	25482	0.00	64.40
	"Alabama"	"01"	"Sep, 1993"	"1993/09"	3.20	24660	0.00	44.00
	"Alabama"	"01"	"Oct, 1993"	"1993/10"	2.89	25482	0.00	100.60
	"Alabama"	"01"	"Nov, 1993"	"1993/11"	3.24	24660	0.00	73.00
	"Alabama"	"01"	"Dec, 1993"	"1993/12"	3.50	25482	0.00	62.20
	"Alabama"	"01"	"Jan, 1994"	"1994/01"	4.40	25482	0.00	87.60
	"Alabama"	"01"	"Feb, 1994"	"1994/02"	4.50	23016	0.00	89.90
	"Alabama"	"01"	"Mar, 1994"	"1994/03"	5.89	25482	0.00	118.90
	"Alabama"	"01"	"Apr, 1994"	"1994/04"	3.73	24660	0.00	60.50
	"Alabama"	"01"	"May, 1994"	"1994/05"	2.66	25482	0.00	62.00
	"Alabama"	"01"	"Jun, 1994"	"1994/06"	5.72	24660	0.00	72.20
	"Alabama"	"01"	"Jul, 1994"	"1994/07"	7.24	25482	0.00	109.60
	"Alabama"	"01"	"Aug, 1994"	"1994/08"	2.58	25482	0.00	38.00
	"Alabama"	"01"	"Sep, 1994"	"1994/09"	2.90	24660	0.00	75.00
	"Alabama"	"01"	"Oct, 1994"	"1994/10"	3.96	25482	0.00	101.70
	"Alabama"	"01"	"Nov, 1994"	"1994/11"	2.96	24660	0.00	54.30
	"Alabama"	"01"	"Dec, 1994"	"1994/12"	3.10	25482	0.00	68.20
	"Alabama"	"01"	"Jan, 1995"	"1995/01"	4.07	25482	0.00	63.20
	"Alabama"	"01"	"Feb, 1995"	"1995/02"	5.21	23016	0.00	93.80
	"Alabama"	"01"	"Mar, 1995"	"1995/03"	4.14	25482	0.00	74.70
	"Alabama"	"01"	"Apr, 1995"	"1995/04"	4.19	24660	0.00	75.20
	"Alabama"	"01"	"May, 1995"	"1995/05"	2.91	25482	0.00	118.00
	"Alabama"	"01"	"Jun, 1995"	"1995/06"	2.41	24660	0.00	86.60
	"Alabama"	"01"	"Jul, 1995"	"1995/07"	3.17	25482	0.00	51.40
	"Alabama"	"01"	"Aug, 1995"	"1995/08"	3.71	25482	0.00	108.80
	"Alabama"	"01"	"Sep, 1995"	"1995/09"	2.51	24660	0.00	55.10
	"Alabama"	"01"	"Oct, 1995"	"1995/10"	6.96	25482	0.00	193.60
	"Alabama"	"01"	"Nov, 1995"	"1995/11"	4.77	24660	0.00	59.00
	"Alabama"	"01"	"Dec, 1995"	"1995/12"	4.39	25482	0.00	112.30
	"Alabama"	"01"	"Jan, 1996"	"1996/01"	5.64	25482	0.00	100.60
	"Alabama"	"01"	"Feb, 1996"	"1996/02"	3.45	23838	0.00	72.20
	"Alabama"	"01"	"Mar, 1996"	"1996/03"	6.91	25482	0.00	88.40
	"Alabama"	"01"	"Apr, 1996"	"1996/04"	3.60	24660	0.00	97.00
	"Alabama"	"01"	"May, 1996"	"1996/05"	1.98	25482	0.00	91.10
	"Alabama"	"01"	"Jun, 1996"	"1996/06"	2.46	24660	0.00	44.70
	"Alabama"	"01"	"Jul, 1996"	"1996/07"	5.23	25482	0.00	65.80
	"Alabama"	"01"	"Aug, 1996"	"1996/08"	3.44	25482	0.00	69.60
