"Notes"	"State"	"State Code"	"Month Day, Year"	"Month Day, Year Code"	Avg Daily Max Air Temperature (F)	Record Count for Daily Max Air Temp (F)	Min Temp for Daily Max Air Temp (F)	Max Temp for Daily Max Air Temp (F)	Avg Daily Min Air Temperature (F)	Record Count for Daily Min Air Temp (F)	Min Temp for Daily Min Air Temp (F)	Max Temp for Daily Min Air Temp (F)	Avg Daily Max Heat Index (F)	Record Count for Daily Max Heat Index (F)	Min for Daily Max Heat Index (F)	Max for Daily Max Heat Index (F)
	"Alabama"	"01"	"Jan 01, 2011"	"2011/01/01"	68.68	822	59.20	73.40	49.64	822	31.10	62.00	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 02, 2011"	"2011/01/02"	50.55	822	36.40	62.70	27.39	822	23.50	48.00	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 03, 2011"	"2011/01/03"	49.87	822	41.80	56.60	23.53	822	20.50	45.10	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 04, 2011"	"2011/01/04"	55.76	822	47.40	64.90	30.37	822	26.10	55.80	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 05, 2011"	"2011/01/05"	55.20	822	41.00	69.70	44.30	822	36.70	59.70	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 06, 2011"	"2011/01/06"	51.63	822	42.60	64.00	34.16	822	30.20	53.00	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 07, 2011"	"2011/01/07"	59.06	822	47.40	65.40	31.40	822	27.30	54.00	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 08, 2011"	"2011/01/08"	45.90	822	34.40	62.20	26.66	822	17.40	51.40	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 09, 2011"	"2011/01/09"	40.62	822	35.10	57.00	24.31	822	16.00	47.50	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 10, 2011"	"2011/01/10"	36.95	822	28.00	57.00	26.72	822	20.20	48.50	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 11, 2011"	"2011/01/11"	38.95	822	29.50	51.60	22.98	822	18.30	40.90	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 12, 2011"	"2011/01/12"	31.68	822	24.80	43.00	18.05	822	11.10	34.50	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 13, 2011"	"2011/01/13"	34.26	822	27.90	42.20	17.74	822	11.40	33.20	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 14, 2011"	"2011/01/14"	40.74	822	33.50	48.20	16.68	822	13.60	38.00	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 15, 2011"	"2011/01/15"	46.37	822	37.90	53.90	25.41	822	21.50	45.00	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 16, 2011"	"2011/01/16"	53.26	822	43.40	58.20	36.19	822	27.40	52.30	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 17, 2011"	"2011/01/17"	50.11	822	38.70	59.30	38.29	822	30.80	54.80	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 18, 2011"	"2011/01/18"	59.56	822	44.30	69.40	41.86	822	34.40	58.60	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 19, 2011"	"2011/01/19"	53.30	822	42.90	61.10	36.96	822	30.00	54.20	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 20, 2011"	"2011/01/20"	57.08	822	46.30	64.00	32.56	822	23.70	53.50	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 21, 2011"	"2011/01/21"	43.18	822	32.60	59.50	25.15	822	19.80	44.10	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 22, 2011"	"2011/01/22"	43.41	822	34.30	49.40	24.05	822	18.60	40.70	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 23, 2011"	"2011/01/23"	48.52	822	38.40	55.00	25.81	822	22.30	45.20	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 24, 2011"	"2011/01/24"	51.84	822	42.00	59.80	31.33	822	25.70	52.80	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 25, 2011"	"2011/01/25"	51.57	822	39.10	69.10	39.58	822	30.80	54.80	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 26, 2011"	"2011/01/26"	49.26	822	37.60	56.40	31.72	822	24.70	49.30	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 27, 2011"	"2011/01/27"	54.44	822	46.70	59.30	28.77	822	23.40	46.80	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 28, 2011"	"2011/01/28"	59.51	822	48.90	67.50	31.22	822	27.20	56.10	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 29, 2011"	"2011/01/29"	68.15	822	60.90	72.20	36.31	822	31.00	58.20	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 30, 2011"	"2011/01/30"	67.17	822	62.50	69.60	40.89	822	35.90	60.50	Missing	0	Missing	Missing
	"Alabama"	"01"	"Jan 31, 2011"	"2011/01/31"	59.89	822	53.50	70.90	51.93	822	46.20	59.50	Missing	0	Missing	Missing
	"Alabama"	"01"	"Feb 01, 2011"	"2011/02/01"	64.44	822	56.00	71.30	48.54	822	34.90	59.50	Missing	0	Missing	Missing
	"Alabama"	"01"	"Feb 02, 2011"	"2011/02/02"	50.63	822	35.10	63.90	30.78	822	23.80	42.50	Missing	0	Missing	Missing
	"Alabama"	"01"	"Feb 03, 2011"	"2011/02/03"	43.32	822	36.00	54.90	29.59	822	22.90	44.40	Missing	0	Missing	Missing
	"Alabama"	"01"	"Feb 04, 2011"	"2011/02/04"	42.38	822	36.50	55.40	35.67	822	28.90	45.20	Missing	0	Missing	Missing
	"Alabama"	"01"	"Feb 05, 2011"	"2011/02/05"	46.33	822	39.90	53.20	32.24	822	27.20	43.80	Missing	0	Missing	Missing
	"Alabama"	"01"	"Feb 06, 2011"	"2011/02/06"	53.00	822	47.90	56.70	29.84	822	27.20	46.40	Missing	0	Missing	Missing
	"Alabama"	"01"	"Feb 07, 2011"	"2011/02/07"	54.39	822	42.20	63.10	32.97	822	28.90	43.60	Missing	0	Missing	Missing
	"Alabama"	"01"	"Feb 08, 2011"	"2011/02/08"	44.33	822	36.90	51.00	27.27	822	23.20	40.90	Missing	0	Missing	Missing
	"Alabama"	"01"	"Feb 09, 2011"	"2011/02/09"	47.97	822	34.50	54.60	26.93	822	22.90	47.20	Missing	0	Missing	Missing
	"Alabama"	"01"	"Feb 10, 2011"	"2011/02/10"	40.63	822	32.00	49.60	26.85	822	19.30	42.50	Missing	0	Missing	Missing
	"Alabama"	"01"	"Feb 11, 2011"	"2011/02/11"	44.31	822	37.90	50.20	24.08	822	17.70	40.70	Missing	0	Missing	Missing
	"Alabama"	"01"	"Feb 12, 2011"	"2011/02/12"	53.35	822	46.00	58.90	24.52	822	19.50	44.40	Missing	0	Missing	Missing
	"Alabama"	"01"	"Feb 13, 2011"	"2011/02/13"	60.54	822	54.80	64.10	28.91	822	23.80	51.00	Missing	0	Missing	Missing
	"Alabama"	"01"	"Feb 14, 2011"	"2011/02/14"	63.10	822	56.80	67.70	32.00	822	27.00	55.70	Missing	0	Missing	Missing
	"Alabama"	"01"	"Feb 15, 2011"	"2011/02/15"	64.99	822	57.30	70.30	37.50	822	32.10	57.20	Missing	0	Missing	Missing
	"Alabama"	"01"	"Feb 16, 2011"	"2011/02/16"	65.17	822	58.90	69.00	39.44	822	31.90	56.00	Missing	0	Missing	Missing
	"Alabama"	"01"	"Feb 17, 2011"	"2011/02/17"	69.07	822	60.60	72.30	41.88	822	38.30	56.90	Missing	0	Missing	Missing
	"Alabama"	"01"	"Feb 18, 2011"	"2011/02/18"	73.93	822	61.10	78.80	46.07	822	41.40	57.10	Missing	0	Missing	Missing
	"Alabama"	"01"	"Feb 19, 2011"	"2011/02/19"	72.42	822	59.80	77.70	58.79	822	51.50	62.80	Missing	0	Missing	Missing
	"Alabama"	"01"	"Feb 20, 2011"	"2011/02/20"	71.49	822	62.50	76.80	55.83	822	50.80	59.80	Missing	0	Missing	Missing
	"Alabama"	"01"	"Feb 21, 2011"	"2011/02/21"	77.27	822	64.20	82.10	52.33	822	47.40	60.80	81.09	165	80.40	82.20
	"Alabama"	"01"	"Feb 22, 2011"	"2011/02/22"	67.92	822	57.70	79.40	46.22	822	35.20	62.50	Missing	0	Missing	Missing
	"Alabama"	"01"	"Feb 23, 2011"	"2011/02/23"	70.53	822	62.00	81.10	41.12	822	30.70	61.60	80.56	36	80.10	81.00
	"Alabama"	"01"	"Feb 24, 2011"	"2011/02/24"	76.77	822	65.10	81.40	50.97	822	43.40	62.40	81.26	139	80.60	82.00
	"Alabama"	"01"	"Feb 25, 2011"	"2011/02/25"	68.13	822	58.00	77.60	45.72	822	35.10	64.20	Missing	0	Missing	Missing
	"Alabama"	"01"	"Feb 26, 2011"	"2011/02/26"	72.89	822	62.10	80.10	40.62	822	32.80	60.80	80.16	5	79.90	80.30
	"Alabama"	"01"	"Feb 27, 2011"	"2011/02/27"	81.15	822	66.50	84.90	51.84	822	45.30	63.50	82.63	587	80.30	85.20
	"Alabama"	"01"	"Feb 28, 2011"	"2011/02/28"	81.83	822	67.50	86.50	53.64	822	41.20	64.70	85.13	632	81.50	88.90
	"Alabama"	"01"	"Mar 01, 2011"	"2011/03/01"	66.13	822	58.60	72.50	42.66	822	32.20	56.80	Missing	0	Missing	Missing
	"Alabama"	"01"	"Mar 02, 2011"	"2011/03/02"	69.09	822	63.10	73.50	41.89	822	37.90	59.30	Missing	0	Missing	Missing
	"Alabama"	"01"	"Mar 03, 2011"	"2011/03/03"	71.37	822	61.30	76.20	46.38	822	42.40	60.90	Missing	0	Missing	Missing
	"Alabama"	"01"	"Mar 04, 2011"	"2011/03/04"	68.65	822	60.60	74.90	49.27	822	39.70	64.20	Missing	0	Missing	Missing
	"Alabama"	"01"	"Mar 05, 2011"	"2011/03/05"	67.48	822	57.20	76.20	53.68	822	40.10	63.80	Missing	0	Missing	Missing
	"Alabama"	"01"	"Mar 06, 2011"	"2011/03/06"	56.78	822	48.10	63.80	36.26	822	30.70	52.50	Missing	0	Missing	Missing
	"Alabama"	"01"	"Mar 07, 2011"	"2011/03/07"	58.32	822	53.20	63.00	32.02	822	29.00	49.60	Missing	0	Missing	Missing
	"Alabama"	"01"	"Mar 08, 2011"	"2011/03/08"	64.39	822	53.90	73.60	38.87	822	34.20	57.60	Missing	0	Missing	Missing
	"Alabama"	"01"	"Mar 09, 2011"	"2011/03/09"	70.57	822	63.60	75.80	54.35	822	46.00	65.20	Missing	0	Missing	Missing
	"Alabama"	"01"	"Mar 10, 2011"	"2011/03/10"	55.98	822	46.00	65.20	42.70	822	35.80	51.90	Missing	0	Missing	Missing
	"Alabama"	"01"	"Mar 11, 2011"	"2011/03/11"	58.76	822	49.80	64.80	38.67	822	33.00	50.90	Missing	0	Missing	Missing
	"Alabama"	"01"	"Mar 12, 2011"	"2011/03/12"	69.91	822	63.20	73.70	37.48	822	32.20	58.60	Missing	0	Missing	Missing
	"Alabama"	"01"	"Mar 13, 2011"	"2011/03/13"	72.56	822	63.70	76.30	44.89	822	41.40	60.80	Missing	0	Missing	Missing
	"Alabama"	"01"	"Mar 14, 2011"	"2011/03/14"	74.72	822	64.50	80.00	50.76	822	46.80	60.30	Missing	0	Missing	Missing
	"Alabama"	"01"	"Mar 15, 2011"	"2011/03/15"	68.44	822	55.70	77.90	49.64	822	40.50	63.00	Missing	0	Missing	Missing
