"Notes"	"State"	"State Code"	"Month Day, Year"	"Month Day, Year Code"	Avg Fine Particulate Matter (µg/m³)	# of Observations for Fine Particulate Matter	Min Fine Particulate Matter	Max Fine Particulate Matter	Avg Fine Particulate Matter Standard Deviation
	"Alabama"	"01"	"Jan 01, 2011"	"2011/01/01"	11.04	1265	0.00	31.90	9.78
	"Alabama"	"01"	"Jan 02, 2011"	"2011/01/02"	4.41	1265	2.30	8.70	1.16
	"Alabama"	"01"	"Jan 03, 2011"	"2011/01/03"	7.94	1265	6.70	8.40	0.22
	"Alabama"	"01"	"Jan 04, 2011"	"2011/01/04"	20.36	1265	17.20	22.20	1.20
	"Alabama"	"01"	"Jan 05, 2011"	"2011/01/05"	20.29	1265	17.10	24.20	2.14
	"Alabama"	"01"	"Jan 06, 2011"	"2011/01/06"	8.83	1265	7.00	10.30	0.82
	"Alabama"	"01"	"Jan 07, 2011"	"2011/01/07"	5.53	1265	4.00	9.50	1.06
	"Alabama"	"01"	"Jan 08, 2011"	"2011/01/08"	4.69	1265	2.70	8.90	1.15
	"Alabama"	"01"	"Jan 09, 2011"	"2011/01/09"	5.69	1265	4.10	7.10	0.73
	"Alabama"	"01"	"Jan 10, 2011"	"2011/01/10"	6.69	1265	5.70	8.80	0.58
	"Alabama"	"01"	"Jan 11, 2011"	"2011/01/11"	15.24	1265	13.50	16.90	0.77
	"Alabama"	"01"	"Jan 12, 2011"	"2011/01/12"	10.33	1265	5.30	13.40	1.26
	"Alabama"	"01"	"Jan 13, 2011"	"2011/01/13"	9.94	1265	6.00	13.10	1.21
	"Alabama"	"01"	"Jan 14, 2011"	"2011/01/14"	14.39	1265	13.20	15.40	0.54
	"Alabama"	"01"	"Jan 15, 2011"	"2011/01/15"	12.99	1265	8.70	15.60	1.54
	"Alabama"	"01"	"Jan 16, 2011"	"2011/01/16"	20.82	1265	16.10	25.40	1.75
	"Alabama"	"01"	"Jan 17, 2011"	"2011/01/17"	19.45	1265	16.50	22.10	1.24
	"Alabama"	"01"	"Jan 18, 2011"	"2011/01/18"	12.82	1265	8.30	18.60	2.34
	"Alabama"	"01"	"Jan 19, 2011"	"2011/01/19"	13.53	1265	12.10	15.50	0.94
	"Alabama"	"01"	"Jan 20, 2011"	"2011/01/20"	17.04	1265	15.00	18.60	0.63
	"Alabama"	"01"	"Jan 21, 2011"	"2011/01/21"	5.54	1265	4.10	10.60	1.32
	"Alabama"	"01"	"Jan 22, 2011"	"2011/01/22"	9.55	1265	8.10	13.20	1.11
	"Alabama"	"01"	"Jan 23, 2011"	"2011/01/23"	14.17	1265	13.00	15.20	0.46
	"Alabama"	"01"	"Jan 24, 2011"	"2011/01/24"	10.02	1265	5.30	13.70	1.78
	"Alabama"	"01"	"Jan 25, 2011"	"2011/01/25"	12.97	1265	7.40	18.10	3.16
	"Alabama"	"01"	"Jan 26, 2011"	"2011/01/26"	9.02	1265	4.00	12.40	2.00
	"Alabama"	"01"	"Jan 27, 2011"	"2011/01/27"	9.83	1265	7.20	13.50	1.20
	"Alabama"	"01"	"Jan 28, 2011"	"2011/01/28"	12.05	1265	9.90	14.80	0.97
	"Alabama"	"01"	"Jan 29, 2011"	"2011/01/29"	16.62	1265	15.20	18.00	0.67
	"Alabama"	"01"	"Jan 30, 2011"	"2011/01/30"	14.04	1265	6.90	16.90	1.80
	"Alabama"	"01"	"Jan 31, 2011"	"2011/01/31"	8.34	1265	5.20	16.50	1.84
	"Alabama"	"01"	"Feb 01, 2011"	"2011/02/01"	10.57	1265	9.00	12.60	1.16
	"Alabama"	"01"	"Feb 02, 2011"	"2011/02/02"	6.17	1265	3.90	8.70	0.98
	"Alabama"	"01"	"Feb 03, 2011"	"2011/02/03"	6.72	1265	3.40	10.10	1.40
	"Alabama"	"01"	"Feb 04, 2011"	"2011/02/04"	8.99	1265	7.70	11.10	0.79
	"Alabama"	"01"	"Feb 05, 2011"	"2011/02/05"	6.47	1265	3.40	9.10	1.34
	"Alabama"	"01"	"Feb 06, 2011"	"2011/02/06"	13.89	1265	12.20	15.60	0.57
	"Alabama"	"01"	"Feb 07, 2011"	"2011/02/07"	13.39	1265	8.00	16.70	2.03
	"Alabama"	"01"	"Feb 08, 2011"	"2011/02/08"	7.25	1265	5.80	8.40	0.60
	"Alabama"	"01"	"Feb 09, 2011"	"2011/02/09"	9.25	1265	7.40	10.70	0.68
	"Alabama"	"01"	"Feb 10, 2011"	"2011/02/10"	12.56	1265	8.30	15.50	1.51
	"Alabama"	"01"	"Feb 11, 2011"	"2011/02/11"	8.91	1265	6.20	11.50	1.43
	"Alabama"	"01"	"Feb 12, 2011"	"2011/02/12"	7.83	1265	6.80	10.20	0.43
	"Alabama"	"01"	"Feb 13, 2011"	"2011/02/13"	14.98	1265	13.90	16.00	0.39
	"Alabama"	"01"	"Feb 14, 2011"	"2011/02/14"	11.59	1265	8.50	14.00	1.44
	"Alabama"	"01"	"Feb 15, 2011"	"2011/02/15"	14.12	1265	12.90	14.80	0.47
	"Alabama"	"01"	"Feb 16, 2011"	"2011/02/16"	20.46	1265	14.90	25.70	2.62
	"Alabama"	"01"	"Feb 17, 2011"	"2011/02/17"	21.10	1265	13.70	29.80	3.22
	"Alabama"	"01"	"Feb 18, 2011"	"2011/02/18"	16.09	1265	12.60	18.20	1.09
	"Alabama"	"01"	"Feb 19, 2011"	"2011/02/19"	17.53	1265	13.10	24.50	2.07
	"Alabama"	"01"	"Feb 20, 2011"	"2011/02/20"	18.48	1265	11.00	28.10	3.88
	"Alabama"	"01"	"Feb 21, 2011"	"2011/02/21"	13.45	1265	10.10	16.80	1.50
