"Notes"	"State"	"State Code"	"Month, Year"	"Month, Year Code"	Avg Daily Sunlight (KJ/m²)	# of Observations for Daily Sunlight	Min Daily Sunlight	Max Daily Sunlight
	"Alabama"	"01"	"Jan, 1979"	"1979/01"	8797.02	25482	2036.60	15326.00
	"Alabama"	"01"	"Feb, 1979"	"1979/02"	11325.31	23016	2831.10	21139.50
	"Alabama"	"01"	"Mar, 1979"	"1979/03"	17295.19	25482	4253.30	25315.60
	"Alabama"	"01"	"Apr, 1979"	"1979/04"	18443.20	24660	5846.50	27713.10
	"Alabama"	"01"	"May, 1979"	"1979/05"	22208.01	25482	7343.30	32115.20
	"Alabama"	"01"	"Jun, 1979"	"1979/06"	24740.31	24660	10924.10	32754.90
	"Alabama"	"01"	"Jul, 1979"	"1979/07"	21844.27	25482	7978.70	34404.40
	"Alabama"	"01"	"Aug, 1979"	"1979/08"	21801.24	25482	8968.80	30914.00
	"Alabama"	"01"	"Sep, 1979"	"1979/09"	17151.82	24660	3683.70	25544.40
	"Alabama"	"01"	"Oct, 1979"	"1979/10"	17669.45	25482	4166.40	23420.80
	"Alabama"	"01"	"Nov, 1979"	"1979/11"	11353.15	24660	2438.50	18504.70
	"Alabama"	"01"	"Dec, 1979"	"1979/12"	9294.94	25482	1874.30	14892.10
	"Alabama"	"01"	"Jan, 1980"	"1980/01"	8660.60	25482	2283.10	16133.90
	"Alabama"	"01"	"Feb, 1980"	"1980/02"	12792.31	23838	2762.90	21644.80
	"Alabama"	"01"	"Mar, 1980"	"1980/03"	15435.96	25482	3647.20	25626.80
	"Alabama"	"01"	"Apr, 1980"	"1980/04"	19807.31	24660	5464.70	28032.70
	"Alabama"	"01"	"May, 1980"	"1980/05"	21895.39	25482	7011.90	31006.60
	"Alabama"	"01"	"Jun, 1980"	"1980/06"	25063.98	24660	9828.20	32614.80
	"Alabama"	"01"	"Jul, 1980"	"1980/07"	26329.78	25482	11805.30	34236.70
	"Alabama"	"01"	"Aug, 1980"	"1980/08"	21392.62	25482	8919.60	30795.80
	"Alabama"	"01"	"Sep, 1980"	"1980/09"	17428.98	24660	4324.00	25361.20
	"Alabama"	"01"	"Oct, 1980"	"1980/10"	16741.07	25482	3280.70	23508.20
	"Alabama"	"01"	"Nov, 1980"	"1980/11"	11366.77	24660	2395.90	17989.30
	"Alabama"	"01"	"Dec, 1980"	"1980/12"	9742.57	25482	2622.00	14484.30
	"Alabama"	"01"	"Jan, 1981"	"1981/01"	11018.25	25482	2602.60	16546.20
	"Alabama"	"01"	"Feb, 1981"	"1981/02"	12075.19	23016	2459.70	20989.70
	"Alabama"	"01"	"Mar, 1981"	"1981/03"	17616.62	25482	4177.90	24965.10
	"Alabama"	"01"	"Apr, 1981"	"1981/04"	20722.69	24660	8861.00	27670.90
	"Alabama"	"01"	"May, 1981"	"1981/05"	22845.90	25482	5531.20	30894.80
	"Alabama"	"01"	"Jun, 1981"	"1981/06"	23967.40	24660	12989.80	32359.90
	"Alabama"	"01"	"Jul, 1981"	"1981/07"	23862.12	25482	8473.20	34447.60
	"Alabama"	"01"	"Aug, 1981"	"1981/08"	19432.48	25482	8651.30	29315.00
	"Alabama"	"01"	"Sep, 1981"	"1981/09"	19351.21	24660	8378.40	25788.60
	"Alabama"	"01"	"Oct, 1981"	"1981/10"	14257.91	25482	3739.70	23111.90
	"Alabama"	"01"	"Nov, 1981"	"1981/11"	11524.45	24660	2348.10	17693.40
	"Alabama"	"01"	"Dec, 1981"	"1981/12"	8775.06	25482	1821.20	14911.10
	"Alabama"	"01"	"Jan, 1982"	"1982/01"	9825.44	25482	3236.60	16483.90
	"Alabama"	"01"	"Feb, 1982"	"1982/02"	11666.63	23016	2794.60	20491.40
	"Alabama"	"01"	"Mar, 1982"	"1982/03"	15987.67	25482	3531.80	24394.60
