County,County Code,Year,count_hwDays_onDailyMaxTemp,count_hwDays_onDailyMaxHeatIndex,count_hwDays_onDailyNetHeatStress
"Autauga County, AL",1001.0,1981.0,4,9,14
"Autauga County, AL",1001.0,1982.0,0,0,0
"Autauga County, AL",1001.0,1983.0,0,11,12
"Autauga County, AL",1001.0,1984.0,0,0,0
"Autauga County, AL",1001.0,1985.0,3,6,3
"Autauga County, AL",1001.0,1986.0,7,9,8
"Autauga County, AL",1001.0,1987.0,0,0,3
"Autauga County, AL",1001.0,1988.0,2,2,2
"Autauga County, AL",1001.0,1989.0,0,2,2
"Autauga County, AL",1001.0,1990.0,3,3,2
"Autauga County, AL",1001.0,1991.0,0,2,0
"Autauga County, AL",1001.0,1992.0,0,0,0
"Autauga County, AL",1001.0,1993.0,0,11,13
"Autauga County, AL",1001.0,1994.0,0,0,0
"Autauga County, AL",1001.0,1995.0,7,6,10
"Autauga County, AL",1001.0,1996.0,0,0,0
"Autauga County, AL",1001.0,1997.0,2,5,7
"Autauga County, AL",1001.0,1998.0,4,9,10
"Autauga County, AL",1001.0,1999.0,6,11,9
"Autauga County, AL",1001.0,2000.0,31,8,6
"Autauga County, AL",1001.0,2001.0,0,2,2
"Autauga County, AL",1001.0,2002.0,0,2,2
"Autauga County, AL",1001.0,2003.0,0,0,0
"Autauga County, AL",1001.0,2004.0,0,2,2
"Autauga County, AL",1001.0,2005.0,0,9,9
"Autauga County, AL",1001.0,2006.0,15,0,6
"Autauga County, AL",1001.0,2007.0,26,19,17
"Autauga County, AL",1001.0,2008.0,7,4,2
"Autauga County, AL",1001.0,2009.0,36,13,11
"Autauga County, AL",1001.0,2010.0,18,30,32
"Baldwin County, AL",1003.0,1981.0,8,13,18
"Baldwin County, AL",1003.0,1982.0,0,2,3
"Baldwin County, AL",1003.0,1983.0,0,5,7
"Baldwin County, AL",1003.0,1984.0,0,0,0
"Baldwin County, AL",1003.0,1985.0,3,0,0
"Baldwin County, AL",1003.0,1986.0,7,8,8
"Baldwin County, AL",1003.0,1987.0,0,0,4
"Baldwin County, AL",1003.0,1988.0,0,3,2
"Baldwin County, AL",1003.0,1989.0,0,2,5
"Baldwin County, AL",1003.0,1990.0,4,5,4
"Baldwin County, AL",1003.0,1991.0,0,0,4
"Baldwin County, AL",1003.0,1992.0,4,0,2
"Baldwin County, AL",1003.0,1993.0,5,6,6
