"Notes"	"County"	"County Code"	"Year"	"Year Code"	Heat Wave Days Based on Daily Maximum Temperature	Average Heat Wave Days Based on Daily Maximum Temperature	Average Heat Wave Days Based on Daily Maximum Temperature Standard Deviation	Heat Wave Days Based on Daily Maximum Heat Index	Average Heat Wave Days Based on Daily Maximum Heat Index	Average Heat Wave Days Based on Daily Maximum Heat Index Standard Deviation	Heat Wave Days Based on Net Daily Heat Stress	Average Heat Wave Days Based on Net Daily Heat Stress	Average Heat Wave Days Based on Net Daily Heat Stress Standard Deviation	Population	Average Population
	"Autauga County, AL"	"01001"	"1981"	"1981"	4	4.00	0.00	9	9.00	0.00	14	14.00	0.00	31977	31977.00
"Total"	"Autauga County, AL"	"01001"			Not Applicable	4.00	0.00	Not Applicable	9.00	0.00	Not Applicable	14.00	0.00	31977	31977.00
	"Baldwin County, AL"	"01003"	"1981"	"1981"	8	8.00	0.00	13	13.00	0.00	18	18.00	0.00	80246	80246.00
"Total"	"Baldwin County, AL"	"01003"			Not Applicable	8.00	0.00	Not Applicable	13.00	0.00	Not Applicable	18.00	0.00	80246	80246.00
	"Barbour County, AL"	"01005"	"1981"	"1981"	8	8.00	0.00	11	11.00	0.00	19	19.00	0.00	24787	24787.00
"Total"	"Barbour County, AL"	"01005"			Not Applicable	8.00	0.00	Not Applicable	11.00	0.00	Not Applicable	19.00	0.00	24787	24787.00
	"Bibb County, AL"	"01007"	"1981"	"1981"	4	4.00	0.00	7	7.00	0.00	12	12.00	0.00	15838	15838.00
"Total"	"Bibb County, AL"	"01007"			Not Applicable	4.00	0.00	Not Applicable	7.00	0.00	Not Applicable	12.00	0.00	15838	15838.00
	"Blount County, AL"	"01009"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	8	8.00	0.00	36574	36574.00
"Total"	"Blount County, AL"	"01009"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	8.00	0.00	36574	36574.00
	"Bullock County, AL"	"01011"	"1981"	"1981"	9	9.00	0.00	14	14.00	0.00	16	16.00	0.00	10692	10692.00
"Total"	"Bullock County, AL"	"01011"			Not Applicable	9.00	0.00	Not Applicable	14.00	0.00	Not Applicable	16.00	0.00	10692	10692.00
	"Butler County, AL"	"01013"	"1981"	"1981"	10	10.00	0.00	15	15.00	0.00	15	15.00	0.00	22208	22208.00
"Total"	"Butler County, AL"	"01013"			Not Applicable	10.00	0.00	Not Applicable	15.00	0.00	Not Applicable	15.00	0.00	22208	22208.00
	"Calhoun County, AL"	"01015"	"1981"	"1981"	0	0.00	0.00	3	3.00	0.00	5	5.00	0.00	120819	120819.00
"Total"	"Calhoun County, AL"	"01015"			Not Applicable	0.00	0.00	Not Applicable	3.00	0.00	Not Applicable	5.00	0.00	120819	120819.00
	"Chambers County, AL"	"01017"	"1981"	"1981"	4	4.00	0.00	8	8.00	0.00	8	8.00	0.00	39341	39341.00
"Total"	"Chambers County, AL"	"01017"			Not Applicable	4.00	0.00	Not Applicable	8.00	0.00	Not Applicable	8.00	0.00	39341	39341.00
	"Cherokee County, AL"	"01019"	"1981"	"1981"	0	0.00	0.00	4	4.00	0.00	6	6.00	0.00	19265	19265.00
"Total"	"Cherokee County, AL"	"01019"			Not Applicable	0.00	0.00	Not Applicable	4.00	0.00	Not Applicable	6.00	0.00	19265	19265.00
	"Chilton County, AL"	"01021"	"1981"	"1981"	4	4.00	0.00	6	6.00	0.00	12	12.00	0.00	30663	30663.00
"Total"	"Chilton County, AL"	"01021"			Not Applicable	4.00	0.00	Not Applicable	6.00	0.00	Not Applicable	12.00	0.00	30663	30663.00
	"Choctaw County, AL"	"01023"	"1981"	"1981"	10	10.00	0.00	10	10.00	0.00	12	12.00	0.00	16622	16622.00
"Total"	"Choctaw County, AL"	"01023"			Not Applicable	10.00	0.00	Not Applicable	10.00	0.00	Not Applicable	12.00	0.00	16622	16622.00
	"Clarke County, AL"	"01025"	"1981"	"1981"	4	4.00	0.00	11	11.00	0.00	11	11.00	0.00	28200	28200.00
"Total"	"Clarke County, AL"	"01025"			Not Applicable	4.00	0.00	Not Applicable	11.00	0.00	Not Applicable	11.00	0.00	28200	28200.00
	"Clay County, AL"	"01027"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	9	9.00	0.00	13883	13883.00
"Total"	"Clay County, AL"	"01027"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	9.00	0.00	13883	13883.00
	"Cleburne County, AL"	"01029"	"1981"	"1981"	0	0.00	0.00	4	4.00	0.00	7	7.00	0.00	12805	12805.00
"Total"	"Cleburne County, AL"	"01029"			Not Applicable	0.00	0.00	Not Applicable	4.00	0.00	Not Applicable	7.00	0.00	12805	12805.00
	"Coffee County, AL"	"01031"	"1981"	"1981"	8	8.00	0.00	11	11.00	0.00	15	15.00	0.00	39747	39747.00
"Total"	"Coffee County, AL"	"01031"			Not Applicable	8.00	0.00	Not Applicable	11.00	0.00	Not Applicable	15.00	0.00	39747	39747.00
	"Colbert County, AL"	"01033"	"1981"	"1981"	0	0.00	0.00	10	10.00	0.00	9	9.00	0.00	54748	54748.00
"Total"	"Colbert County, AL"	"01033"			Not Applicable	0.00	0.00	Not Applicable	10.00	0.00	Not Applicable	9.00	0.00	54748	54748.00
	"Conecuh County, AL"	"01035"	"1981"	"1981"	8	8.00	0.00	10	10.00	0.00	16	16.00	0.00	15626	15626.00
"Total"	"Conecuh County, AL"	"01035"			Not Applicable	8.00	0.00	Not Applicable	10.00	0.00	Not Applicable	16.00	0.00	15626	15626.00
	"Coosa County, AL"	"01037"	"1981"	"1981"	2	2.00	0.00	8	8.00	0.00	11	11.00	0.00	11448	11448.00
"Total"	"Coosa County, AL"	"01037"			Not Applicable	2.00	0.00	Not Applicable	8.00	0.00	Not Applicable	11.00	0.00	11448	11448.00
	"Covington County, AL"	"01039"	"1981"	"1981"	9	9.00	0.00	13	13.00	0.00	14	14.00	0.00	37014	37014.00
"Total"	"Covington County, AL"	"01039"			Not Applicable	9.00	0.00	Not Applicable	13.00	0.00	Not Applicable	14.00	0.00	37014	37014.00
	"Crenshaw County, AL"	"01041"	"1981"	"1981"	12	12.00	0.00	15	15.00	0.00	15	15.00	0.00	14127	14127.00
"Total"	"Crenshaw County, AL"	"01041"			Not Applicable	12.00	0.00	Not Applicable	15.00	0.00	Not Applicable	15.00	0.00	14127	14127.00
