"Notes"	"County"	"County Code"	"Month, Year"	"Month, Year Code"	Avg Fine Particulate Matter (µg/m³)	# of Observations for Fine Particulate Matter	Min Fine Particulate Matter	Max Fine Particulate Matter	Avg Fine Particulate Matter Standard Deviation
	"Autauga County, AL"	"01001"	"Jan, 2010"	"2010/01"	10.81	372	3.70	22.20	4.50
	"Autauga County, AL"	"01001"	"Feb, 2010"	"2010/02"	9.85	336	5.00	19.70	3.08
	"Autauga County, AL"	"01001"	"Mar, 2010"	"2010/03"	11.45	372	4.90	20.30	4.39
	"Autauga County, AL"	"01001"	"Apr, 2010"	"2010/04"	14.02	360	6.30	23.80	4.97
	"Autauga County, AL"	"01001"	"May, 2010"	"2010/05"	14.48	372	7.00	27.20	4.42
	"Autauga County, AL"	"01001"	"Jun, 2010"	"2010/06"	14.83	360	6.80	23.00	4.00
	"Autauga County, AL"	"01001"	"Jul, 2010"	"2010/07"	14.88	372	5.80	23.60	5.15
	"Autauga County, AL"	"01001"	"Aug, 2010"	"2010/08"	13.54	372	4.20	23.40	5.21
	"Autauga County, AL"	"01001"	"Sep, 2010"	"2010/09"	15.46	360	5.70	26.10	5.17
	"Autauga County, AL"	"01001"	"Oct, 2010"	"2010/10"	13.27	372	5.70	23.50	4.84
	"Autauga County, AL"	"01001"	"Nov, 2010"	"2010/11"	12.49	360	4.80	25.10	4.97
	"Autauga County, AL"	"01001"	"Dec, 2010"	"2010/12"	11.53	372	4.10	19.20	3.52
"Total"	"Autauga County, AL"	"01001"			13.07	4380	3.70	27.20	4.88
	"Baldwin County, AL"	"01003"	"Jan, 2010"	"2010/01"	11.05	1147	4.10	23.40	4.28
	"Baldwin County, AL"	"01003"	"Feb, 2010"	"2010/02"	10.18	1036	4.90	19.90	3.15
	"Baldwin County, AL"	"01003"	"Mar, 2010"	"2010/03"	12.14	1147	5.80	21.30	3.59
	"Baldwin County, AL"	"01003"	"Apr, 2010"	"2010/04"	12.94	1110	3.30	26.70	4.39
	"Baldwin County, AL"	"01003"	"May, 2010"	"2010/05"	15.40	1147	5.80	36.70	5.91
	"Baldwin County, AL"	"01003"	"Jun, 2010"	"2010/06"	14.12	1110	0.00	26.50	5.36
	"Baldwin County, AL"	"01003"	"Jul, 2010"	"2010/07"	13.74	1147	3.70	24.10	5.33
	"Baldwin County, AL"	"01003"	"Aug, 2010"	"2010/08"	13.20	1147	1.00	28.30	6.72
	"Baldwin County, AL"	"01003"	"Sep, 2010"	"2010/09"	13.09	1110	3.70	28.00	4.95
	"Baldwin County, AL"	"01003"	"Oct, 2010"	"2010/10"	12.65	1147	5.30	26.90	4.56
	"Baldwin County, AL"	"01003"	"Nov, 2010"	"2010/11"	12.03	1110	0.00	22.00	5.05
	"Baldwin County, AL"	"01003"	"Dec, 2010"	"2010/12"	12.54	1147	3.60	21.60	4.31
"Total"	"Baldwin County, AL"	"01003"			12.77	13505	0.00	36.70	5.07
	"Barbour County, AL"	"01005"	"Jan, 2010"	"2010/01"	11.28	651	3.10	29.80	5.19
	"Barbour County, AL"	"01005"	"Feb, 2010"	"2010/02"	10.09	588	5.50	18.20	2.90
	"Barbour County, AL"	"01005"	"Mar, 2010"	"2010/03"	12.03	651	4.00	22.60	4.53
	"Barbour County, AL"	"01005"	"Apr, 2010"	"2010/04"	13.46	630	6.10	24.00	4.22
	"Barbour County, AL"	"01005"	"May, 2010"	"2010/05"	14.85	651	5.10	31.90	4.89
	"Barbour County, AL"	"01005"	"Jun, 2010"	"2010/06"	14.16	630	6.10	21.30	3.99
	"Barbour County, AL"	"01005"	"Jul, 2010"	"2010/07"	13.14	651	5.40	23.00	4.64
	"Barbour County, AL"	"01005"	"Aug, 2010"	"2010/08"	11.89	651	1.80	22.10	5.35
	"Barbour County, AL"	"01005"	"Sep, 2010"	"2010/09"	13.56	630	5.20	23.30	4.38
	"Barbour County, AL"	"01005"	"Oct, 2010"	"2010/10"	12.16	651	5.40	21.60	4.26
	"Barbour County, AL"	"01005"	"Nov, 2010"	"2010/11"	12.25	630	5.60	21.70	4.12
	"Barbour County, AL"	"01005"	"Dec, 2010"	"2010/12"	11.98	651	5.00	20.40	3.81
"Total"	"Barbour County, AL"	"01005"			12.58	7665	1.80	31.90	4.58
	"Bibb County, AL"	"01007"	"Jan, 2010"	"2010/01"	10.64	465	3.90	21.80	4.43
	"Bibb County, AL"	"01007"	"Feb, 2010"	"2010/02"	9.85	420	4.70	20.00	3.17
	"Bibb County, AL"	"01007"	"Mar, 2010"	"2010/03"	11.35	465	4.60	20.80	4.61
	"Bibb County, AL"	"01007"	"Apr, 2010"	"2010/04"	14.11	450	5.80	24.10	5.28
	"Bibb County, AL"	"01007"	"May, 2010"	"2010/05"	14.36	465	6.60	27.50	4.51
	"Bibb County, AL"	"01007"	"Jun, 2010"	"2010/06"	14.88	450	7.70	23.50	3.88
	"Bibb County, AL"	"01007"	"Jul, 2010"	"2010/07"	15.45	465	4.80	23.70	5.33
	"Bibb County, AL"	"01007"	"Aug, 2010"	"2010/08"	14.17	465	5.50	25.70	4.97
	"Bibb County, AL"	"01007"	"Sep, 2010"	"2010/09"	15.75	450	6.10	27.30	5.16
	"Bibb County, AL"	"01007"	"Oct, 2010"	"2010/10"	13.46	465	5.70	24.70	5.17
	"Bibb County, AL"	"01007"	"Nov, 2010"	"2010/11"	12.50	450	4.10	26.60	5.34
	"Bibb County, AL"	"01007"	"Dec, 2010"	"2010/12"	11.28	465	3.90	18.50	3.40
"Total"	"Bibb County, AL"	"01007"			13.16	5475	3.90	27.50	5.03
	"Blount County, AL"	"01009"	"Jan, 2010"	"2010/01"	10.77	527	2.90	22.40	4.91
	"Blount County, AL"	"01009"	"Feb, 2010"	"2010/02"	10.46	476	4.00	16.90	3.01
	"Blount County, AL"	"01009"	"Mar, 2010"	"2010/03"	10.90	527	3.30	22.00	4.65
	"Blount County, AL"	"01009"	"Apr, 2010"	"2010/04"	13.57	510	5.00	25.10	5.23
	"Blount County, AL"	"01009"	"May, 2010"	"2010/05"	12.98	527	5.00	24.80	4.43
	"Blount County, AL"	"01009"	"Jun, 2010"	"2010/06"	13.36	510	7.50	25.00	3.43
	"Blount County, AL"	"01009"	"Jul, 2010"	"2010/07"	14.54	527	6.10	23.50	4.40
	"Blount County, AL"	"01009"	"Aug, 2010"	"2010/08"	14.16	527	6.10	23.90	4.16
	"Blount County, AL"	"01009"	"Sep, 2010"	"2010/09"	13.59	510	5.50	24.30	4.60
	"Blount County, AL"	"01009"	"Oct, 2010"	"2010/10"	11.78	527	4.20	21.50	4.57
	"Blount County, AL"	"01009"	"Nov, 2010"	"2010/11"	11.71	510	3.70	24.70	4.79
	"Blount County, AL"	"01009"	"Dec, 2010"	"2010/12"	11.05	527	4.50	18.30	3.29
"Total"	"Blount County, AL"	"01009"			12.42	6205	2.90	25.10	4.56
	"Bullock County, AL"	"01011"	"Jan, 2010"	"2010/01"	11.13	372	3.20	27.30	4.96
	"Bullock County, AL"	"01011"	"Feb, 2010"	"2010/02"	10.01	336	5.40	18.70	2.91
	"Bullock County, AL"	"01011"	"Mar, 2010"	"2010/03"	11.73	372	4.50	20.70	4.40
	"Bullock County, AL"	"01011"	"Apr, 2010"	"2010/04"	13.63	360	6.10	23.80	4.46
	"Bullock County, AL"	"01011"	"May, 2010"	"2010/05"	14.57	372	6.20	28.70	4.57
	"Bullock County, AL"	"01011"	"Jun, 2010"	"2010/06"	14.31	360	6.30	21.60	3.92
	"Bullock County, AL"	"01011"	"Jul, 2010"	"2010/07"	13.64	372	5.60	23.20	4.74
	"Bullock County, AL"	"01011"	"Aug, 2010"	"2010/08"	12.37	372	2.40	22.40	5.24
	"Bullock County, AL"	"01011"	"Sep, 2010"	"2010/09"	14.17	360	5.40	23.40	4.67
	"Bullock County, AL"	"01011"	"Oct, 2010"	"2010/10"	12.48	372	5.60	21.60	4.36
