"Notes"	"County"	"County Code"	"Month, Year"	"Month, Year Code"	Avg Daily Sunlight (KJ/m²)	# of Observations for Daily Sunlight	Min Daily Sunlight	Max Daily Sunlight
	"Autauga County, AL"	"01001"	"Jan, 1979"	"1979/01"	9004.25	341	3132.20	13113.30
	"Autauga County, AL"	"01001"	"Feb, 1979"	"1979/02"	11732.92	308	3606.80	17634.80
	"Autauga County, AL"	"01001"	"Mar, 1979"	"1979/03"	17647.76	341	7790.10	22968.60
	"Autauga County, AL"	"01001"	"Apr, 1979"	"1979/04"	18390.18	330	6870.90	26244.40
	"Autauga County, AL"	"01001"	"May, 1979"	"1979/05"	21584.19	341	12105.30	30216.00
	"Autauga County, AL"	"01001"	"Jun, 1979"	"1979/06"	25257.55	330	15041.20	32110.50
	"Autauga County, AL"	"01001"	"Jul, 1979"	"1979/07"	21539.23	341	10425.40	33967.80
	"Autauga County, AL"	"01001"	"Aug, 1979"	"1979/08"	22483.49	341	15063.90	30432.40
	"Autauga County, AL"	"01001"	"Sep, 1979"	"1979/09"	17263.67	330	3870.00	24780.40
	"Autauga County, AL"	"01001"	"Oct, 1979"	"1979/10"	17863.80	341	9923.60	21241.80
	"Autauga County, AL"	"01001"	"Nov, 1979"	"1979/11"	11385.98	330	3883.60	15649.20
	"Autauga County, AL"	"01001"	"Dec, 1979"	"1979/12"	9216.86	341	2619.90	12513.00
"Total"	"Autauga County, AL"	"01001"			16978.00	4015	2619.90	33967.80
	"Baldwin County, AL"	"01003"	"Jan, 1979"	"1979/01"	9669.68	806	3072.70	14928.40
	"Baldwin County, AL"	"01003"	"Feb, 1979"	"1979/02"	11850.21	728	2831.10	21139.50
	"Baldwin County, AL"	"01003"	"Mar, 1979"	"1979/03"	18474.54	806	4559.70	25315.60
	"Baldwin County, AL"	"01003"	"Apr, 1979"	"1979/04"	18855.31	780	9287.90	27713.10
	"Baldwin County, AL"	"01003"	"May, 1979"	"1979/05"	23921.50	806	13288.20	32115.20
	"Baldwin County, AL"	"01003"	"Jun, 1979"	"1979/06"	24952.20	780	14419.90	32187.60
	"Baldwin County, AL"	"01003"	"Jul, 1979"	"1979/07"	21374.86	806	9343.50	31140.10
	"Baldwin County, AL"	"01003"	"Aug, 1979"	"1979/08"	21922.65	806	10589.30	29203.60
	"Baldwin County, AL"	"01003"	"Sep, 1979"	"1979/09"	17615.87	780	6559.70	25544.40
	"Baldwin County, AL"	"01003"	"Oct, 1979"	"1979/10"	18553.75	806	8304.40	23420.80
	"Baldwin County, AL"	"01003"	"Nov, 1979"	"1979/11"	12923.68	780	3568.30	18504.70
	"Baldwin County, AL"	"01003"	"Dec, 1979"	"1979/12"	10546.16	806	2836.90	14892.10
"Total"	"Baldwin County, AL"	"01003"			17590.62	9490	2831.10	32187.60
	"Barbour County, AL"	"01005"	"Jan, 1979"	"1979/01"	9735.50	434	3100.10	14510.10
	"Barbour County, AL"	"01005"	"Feb, 1979"	"1979/02"	11696.54	392	3422.70	18060.70
	"Barbour County, AL"	"01005"	"Mar, 1979"	"1979/03"	18473.38	434	5996.70	23284.10
	"Barbour County, AL"	"01005"	"Apr, 1979"	"1979/04"	19152.53	420	8312.70	25927.20
	"Barbour County, AL"	"01005"	"May, 1979"	"1979/05"	22058.44	434	12609.00	30553.30
	"Barbour County, AL"	"01005"	"Jun, 1979"	"1979/06"	24898.84	420	13979.50	32216.40
	"Barbour County, AL"	"01005"	"Jul, 1979"	"1979/07"	21787.29	434	12324.50	33725.90
	"Barbour County, AL"	"01005"	"Aug, 1979"	"1979/08"	22020.16	434	15190.30	30193.20
	"Barbour County, AL"	"01005"	"Sep, 1979"	"1979/09"	16444.10	420	4550.50	24150.00
	"Barbour County, AL"	"01005"	"Oct, 1979"	"1979/10"	18186.49	434	12210.50	21460.00
	"Barbour County, AL"	"01005"	"Nov, 1979"	"1979/11"	11724.84	420	3920.30	16295.70
	"Barbour County, AL"	"01005"	"Dec, 1979"	"1979/12"	10037.22	434	3231.30	13111.10
"Total"	"Barbour County, AL"	"01005"			17220.18	5110	3100.10	33725.90
	"Bibb County, AL"	"01007"	"Jan, 1979"	"1979/01"	8570.58	279	2616.30	12944.70
	"Bibb County, AL"	"01007"	"Feb, 1979"	"1979/02"	11459.23	252	3515.90	17670.60
	"Bibb County, AL"	"01007"	"Mar, 1979"	"1979/03"	17300.59	279	7773.20	22875.90
	"Bibb County, AL"	"01007"	"Apr, 1979"	"1979/04"	18120.20	270	7609.60	25732.00
	"Bibb County, AL"	"01007"	"May, 1979"	"1979/05"	21535.48	279	8559.50	29985.90
	"Bibb County, AL"	"01007"	"Jun, 1979"	"1979/06"	24915.72	270	14213.20	31371.10
	"Bibb County, AL"	"01007"	"Jul, 1979"	"1979/07"	21958.94	279	11329.80	33193.90
	"Bibb County, AL"	"01007"	"Aug, 1979"	"1979/08"	21924.58	279	13731.00	29813.80
	"Bibb County, AL"	"01007"	"Sep, 1979"	"1979/09"	16870.20	270	5474.40	24516.10
	"Bibb County, AL"	"01007"	"Oct, 1979"	"1979/10"	17935.82	279	7275.60	21614.50
	"Bibb County, AL"	"01007"	"Nov, 1979"	"1979/11"	11290.07	270	3019.00	15392.90
	"Bibb County, AL"	"01007"	"Dec, 1979"	"1979/12"	9093.08	279	2403.50	12428.10
"Total"	"Bibb County, AL"	"01007"			16779.82	3285	2403.50	33193.90
	"Blount County, AL"	"01009"	"Jan, 1979"	"1979/01"	8069.79	310	2467.50	11988.40
	"Blount County, AL"	"01009"	"Feb, 1979"	"1979/02"	10796.40	280	3647.10	16288.40
	"Blount County, AL"	"01009"	"Mar, 1979"	"1979/03"	15963.20	310	5892.20	22041.20
	"Blount County, AL"	"01009"	"Apr, 1979"	"1979/04"	17932.11	300	6709.20	24919.30
	"Blount County, AL"	"01009"	"May, 1979"	"1979/05"	22077.41	310	7852.50	30011.00
	"Blount County, AL"	"01009"	"Jun, 1979"	"1979/06"	24391.43	300	13250.10	30468.40
	"Blount County, AL"	"01009"	"Jul, 1979"	"1979/07"	21942.72	310	15605.90	31365.80
	"Blount County, AL"	"01009"	"Aug, 1979"	"1979/08"	21093.85	310	12576.30	29092.50
	"Blount County, AL"	"01009"	"Sep, 1979"	"1979/09"	16831.50	300	4612.50	23780.90
	"Blount County, AL"	"01009"	"Oct, 1979"	"1979/10"	17091.99	310	6507.80	21281.30
	"Blount County, AL"	"01009"	"Nov, 1979"	"1979/11"	10581.95	300	2619.30	14791.80
	"Blount County, AL"	"01009"	"Dec, 1979"	"1979/12"	8646.67	310	2451.20	11823.20
"Total"	"Blount County, AL"	"01009"			16317.44	3650	2451.20	31365.80
	"Bullock County, AL"	"01011"	"Jan, 1979"	"1979/01"	9705.96	310	3335.50	14012.60
	"Bullock County, AL"	"01011"	"Feb, 1979"	"1979/02"	11774.50	280	3555.90	17993.30
	"Bullock County, AL"	"01011"	"Mar, 1979"	"1979/03"	18217.42	310	8032.20	23319.90
	"Bullock County, AL"	"01011"	"Apr, 1979"	"1979/04"	19076.27	300	7412.00	26309.70
	"Bullock County, AL"	"01011"	"May, 1979"	"1979/05"	21681.01	310	12205.00	30315.80
	"Bullock County, AL"	"01011"	"Jun, 1979"	"1979/06"	25126.02	300	15627.10	32032.60
	"Bullock County, AL"	"01011"	"Jul, 1979"	"1979/07"	21890.17	310	11641.30	33879.40
	"Bullock County, AL"	"01011"	"Aug, 1979"	"1979/08"	22256.62	310	14192.50	30743.40
	"Bullock County, AL"	"01011"	"Sep, 1979"	"1979/09"	16846.28	300	3779.20	24773.70
	"Bullock County, AL"	"01011"	"Oct, 1979"	"1979/10"	18140.37	310	11551.10	21386.00
	"Bullock County, AL"	"01011"	"Nov, 1979"	"1979/11"	11535.09	300	3584.20	16203.90
	"Bullock County, AL"	"01011"	"Dec, 1979"	"1979/12"	9866.15	310	2764.90	13155.10
"Total"	"Bullock County, AL"	"01011"			17210.09	3650	2764.90	33879.40
	"Butler County, AL"	"01013"	"Jan, 1979"	"1979/01"	9270.14	372	2915.50	14238.50
	"Butler County, AL"	"01013"	"Feb, 1979"	"1979/02"	11726.00	336	3081.90	17863.40
	"Butler County, AL"	"01013"	"Mar, 1979"	"1979/03"	18469.52	372	6463.80	23486.10
	"Butler County, AL"	"01013"	"Apr, 1979"	"1979/04"	18893.61	360	8785.40	26055.40
	"Butler County, AL"	"01013"	"May, 1979"	"1979/05"	22165.70	372	13360.50	30206.00
	"Butler County, AL"	"01013"	"Jun, 1979"	"1979/06"	24493.79	360	13902.90	31195.20
	"Butler County, AL"	"01013"	"Jul, 1979"	"1979/07"	21056.40	372	10495.80	33402.10
	"Butler County, AL"	"01013"	"Aug, 1979"	"1979/08"	22412.03	372	14849.10	30592.90
	"Butler County, AL"	"01013"	"Sep, 1979"	"1979/09"	17594.86	360	4028.10	24640.20
	"Butler County, AL"	"01013"	"Oct, 1979"	"1979/10"	18156.01	372	10445.30	21538.70
	"Butler County, AL"	"01013"	"Nov, 1979"	"1979/11"	11787.38	360	4054.10	16406.00
	"Butler County, AL"	"01013"	"Dec, 1979"	"1979/12"	9718.23	372	2691.70	13134.00
"Total"	"Butler County, AL"	"01013"			17178.37	4380	2691.70	33402.10
	"Calhoun County, AL"	"01015"	"Jan, 1979"	"1979/01"	8603.01	310	2580.70	12227.40
	"Calhoun County, AL"	"01015"	"Feb, 1979"	"1979/02"	11009.89	280	3780.20	17079.30
	"Calhoun County, AL"	"01015"	"Mar, 1979"	"1979/03"	16161.46	310	4691.00	21954.10
	"Calhoun County, AL"	"01015"	"Apr, 1979"	"1979/04"	18322.08	300	6221.70	25102.00
	"Calhoun County, AL"	"01015"	"May, 1979"	"1979/05"	21560.57	310	8573.80	29592.60
	"Calhoun County, AL"	"01015"	"Jun, 1979"	"1979/06"	24230.00	300	13624.60	30603.00
	"Calhoun County, AL"	"01015"	"Jul, 1979"	"1979/07"	21739.43	310	10176.20	32548.10
	"Calhoun County, AL"	"01015"	"Aug, 1979"	"1979/08"	21287.97	310	14178.10	29783.50
	"Calhoun County, AL"	"01015"	"Sep, 1979"	"1979/09"	16437.30	300	4360.90	24153.50
	"Calhoun County, AL"	"01015"	"Oct, 1979"	"1979/10"	16932.92	310	10053.80	20789.10
	"Calhoun County, AL"	"01015"	"Nov, 1979"	"1979/11"	10520.26	300	2871.70	14776.20
	"Calhoun County, AL"	"01015"	"Dec, 1979"	"1979/12"	8715.94	310	2484.20	11927.00
"Total"	"Calhoun County, AL"	"01015"			16324.95	3650	2484.20	32548.10
	"Chambers County, AL"	"01017"	"Jan, 1979"	"1979/01"	9451.98	310	3382.70	13706.30
	"Chambers County, AL"	"01017"	"Feb, 1979"	"1979/02"	11683.45	280	3683.50	17800.50
	"Chambers County, AL"	"01017"	"Mar, 1979"	"1979/03"	17338.59	310	5567.40	22817.90
	"Chambers County, AL"	"01017"	"Apr, 1979"	"1979/04"	18606.95	300	7520.40	25023.00
	"Chambers County, AL"	"01017"	"May, 1979"	"1979/05"	21602.50	310	11516.30	30298.50
	"Chambers County, AL"	"01017"	"Jun, 1979"	"1979/06"	24999.85	300	14456.60	31586.00
	"Chambers County, AL"	"01017"	"Jul, 1979"	"1979/07"	21752.39	310	13077.50	32523.00
	"Chambers County, AL"	"01017"	"Aug, 1979"	"1979/08"	22287.87	310	12560.20	30369.80
	"Chambers County, AL"	"01017"	"Sep, 1979"	"1979/09"	16348.59	300	4032.70	24248.00
	"Chambers County, AL"	"01017"	"Oct, 1979"	"1979/10"	17490.10	310	10980.90	20842.60
