"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"0500000US01001","Autauga County, Alabama","55380","*****","42527","258","10538","267","140","73","573","158","26","33","378","313","1198","309","14","23","1184","306"
"0500000US01003","Baldwin County, Alabama","212830","*****","183471","797","19718","451","1645","394","1969","275","9","15","2429","708","3589","645","294","186","3295","637"
"0500000US01005","Barbour County, Alabama","25361","*****","11869","146","12066","153","82","42","134","33","1","3","905","178","304","125","34","34","270","125"
"0500000US01007","Bibb County, Alabama","22493","*****","17272","75","5014","116","30","60","27","45","0","22","9","18","141","87","0","22","141","87"
"0500000US01009","Blount County, Alabama","57681","*****","55062","373","928","154","46","41","212","25","25","40","492","355","916","162","13","15","903","162"
"0500000US01011","Bullock County, Alabama","10248","*****","2244","53","7666","328","0","19","50","66","0","19","210","309","78","101","0","19","78","101"
"0500000US01013","Butler County, Alabama","19828","*****","10280","58","9001","154","11","11","69","59","0","19","42","51","425","143","91","105","334","112"
"0500000US01015","Calhoun County, Alabama","114618","*****","84439","543","23830","426","379","236","1014","163","14","21","2202","500","2740","475","225","159","2515","433"
"0500000US01017","Chambers County, Alabama","33660","*****","19423","101","13316","167","112","50","376","55","0","25","91","110","342","190","0","25","342","190"
"0500000US01019","Cherokee County, Alabama","25903","*****","24052","87","1191","112","280","121","64","68","0","22","91","77","225","150","0","22","225","150"
"0500000US01021","Chilton County, Alabama","44055","*****","36835","691","4041","308","361","318","195","69","0","25","1530","656","1093","333","98","79","995","318"
"0500000US01023","Choctaw County, Alabama","12925","*****","7337","56","5500","73","8","9","17","17","0","19","12","21","51","42","0","19","51","42"
"0500000US01025","Clarke County, Alabama","24128","*****","12781","55","11044","122","26","28","104","26","0","22","0","22","173","104","0","22","173","104"
"0500000US01027","Clay County, Alabama","13337","*****","11092","69","2075","76","37","64","21","27","0","19","18","24","94","67","0","19","94","67"
"0500000US01029","Cleburne County, Alabama","14916","*****","14000","111","410","105","14","20","3","9","0","19","198","112","291","108","8","15","283","107"
"0500000US01031","Coffee County, Alabama","51662","*****","39118","373","8733","260","640","110","745","138","0","28","696","350","1730","347","31","21","1699","346"
"0500000US01033","Colbert County, Alabama","54771","*****","43289","205","8872","235","319","147","259","51","51","44","866","230","1115","296","175","136","940","265"
"0500000US01035","Conecuh County, Alabama","12394","*****","6287","122","5919","171","25","38","56","45","0","19","2","4","105","100","0","19","105","100"
"0500000US01037","Coosa County, Alabama","10757","*****","7078","131","3615","98","9","12","0","19","0","19","55","84","0","19","0","19","0","19"
"0500000US01039","Covington County, Alabama","37200","*****","31460","102","5018","114","22","22","184","78","34","41","66","81","416","105","0","25","416","105"
"0500000US01041","Crenshaw County, Alabama","13844","*****","9879","32","3228","200","97","36","175","11","9","14","22","30","434","192","5","7","429","192"
"0500000US01043","Cullman County, Alabama","82853","*****","78804","450","1073","132","234","152","314","156","0","28","747","407","1681","301","173","150","1508","264"
"0500000US01045","Dale County, Alabama","49277","*****","35655","357","10000","227","386","143","699","182","4","7","913","360","1620","274","80","80","1540","268"
"0500000US01047","Dallas County, Alabama","39149","*****","10906","141","27693","114","37","58","222","15","21","42","27","42","243","95","36","54","207","78"
