fips,total_hh,median_hh_income,mean_hh_income,total_families,median_family_income,mean_family_income,county,state,total_pop,pop_below_poverty,percent_below_poverty,county,state,state,county,Metro2013,rural_urban_continuum_code_2013,retirement_destination_2015_update,metro_adjacent_2013,state,county,smoking_ban_2010,asian_2019,avg_family_size_2019,black_2019,hispanic_2019,household_has_broadband_2019,household_has_computer_2019,household_has_smartphone_2019,households_2019,households_speak_limited_english_2019,housing_mobile_homes_2019,hs_grad_2019,median_household_income_2019,median_individual_income_2019,native_2019,other_single_race_2019,pac_isl_2019,persons_per_household_2019,pop_2019,unemployment_rate_2019,uninsured_2019,veterans_2019,white_2019,white_not_hispanic_2019
01001,21397.0,58731.0,75326.0,15076.0,71103.0,87094.0,Autauga County, Alabama,54922.0,8340.0,15.2,Autauga County, Alabama,AL,Autauga,2.0,1.0,1.0,0.0,Alabama,Autauga County,none,1.0,3.09,19.0,2.8,80.6,73.0,78.4,21397.0,0.7,26.7,88.5,58731.0,29725.0,0.3,0.7,0.0,2.56,55380.0,3.5,7.1,12.6,76.8,74.6
01003,80930.0,58320.0,80986.0,53467.0,75850.0,97991.0,Baldwin County, Alabama,209618.0,21704.0,10.4,Baldwin County, Alabama,AL,Baldwin,3.0,1.0,1.0,0.0,Alabama,Baldwin County,none,0.9,3.24,9.3,4.6,81.8,76.3,81.7,80930.0,1.2,24.8,90.8,58320.0,29802.0,0.8,1.1,0.0,2.59,212830.0,4.0,8.9,11.8,86.2,83.1
01005,9345.0,32525.0,47068.0,6187.0,41704.0,56374.0,Barbour County, Alabama,22417.0,6875.0,30.7,Barbour County, Alabama,AL,Barbour,6.0,0.0,0.0,1.0,Alabama,Barbour County,partial,0.5,3.01,47.6,4.4,60.5,51.9,64.2,9345.0,1.6,39.1,73.2,32525.0,17963.0,0.3,3.6,0.0,2.41,25361.0,9.4,11.3,6.6,46.8,45.8
01007,6891.0,47542.0,60182.0,4789.0,57891.0,69316.0,Bibb County, Alabama,20632.0,3740.0,18.1,Bibb County, Alabama,AL,Bibb,1.0,1.0,0.0,0.0,Alabama,Bibb County,none,0.1,3.74,22.3,2.6,69.2,54.7,66.6,6891.0,0.6,25.6,79.1,47542.0,21958.0,0.1,0.0,0.0,2.99,22493.0,7.0,10.7,8.0,76.8,74.5
01009,20847.0,49358.0,65639.0,14874.0,62295.0,76547.0,Blount County, Alabama,57108.0,7739.0,13.6,Blount County, Alabama,AL,Blount,1.0,1.0,0.0,0.0,Alabama,Blount County,none,0.4,3.33,1.6,9.3,73.0,63.5,70.1,20847.0,1.8,21.2,80.5,49358.0,26976.0,0.1,0.9,0.0,2.74,57681.0,3.1,10.8,7.7,95.5,86.9
01011,3521.0,37785.0,48571.0,2504.0,43333.0,54751.0,Bullock County, Alabama,9784.0,2825.0,28.9,Bullock County, Alabama,AL,Bullock,6.0,0.0,0.0,1.0,Alabama,Bullock County,none,0.5,3.3,74.8,2.6,60.1,52.5,70.6,3521.0,1.4,28.9,74.7,37785.0,21571.0,0.0,2.0,0.0,2.79,10248.0,4.1,11.4,3.3,21.9,21.4
01013,6506.0,40688.0,55971.0,4331.0,50503.0,65297.0,Butler County, Alabama,19540.0,4397.0,22.5,Butler County, Alabama,AL,Butler,6.0,0.0,0.0,1.0,Alabama,Butler County,comprehensive,0.3,3.78,45.4,1.4,64.6,60.5,57.1,6506.0,0.3,30.0,85.0,40688.0,19685.0,0.1,0.2,0.0,3.0,19828.0,7.0,8.7,6.6,51.8,51.6
01015,44605.0,47255.0,63417.0,29960.0,59147.0,75584.0,Calhoun County, Alabama,111542.0,19969.0,17.9,Calhoun County, Alabama,AL,Calhoun,3.0,1.0,0.0,0.0,Alabama,Calhoun County,comprehensive,0.9,3.03,20.8,3.8,75.1,67.8,74.9,44605.0,0.9,29.9,84.4,47255.0,24069.0,0.3,1.9,0.0,2.5,114618.0,7.2,9.5,10.8,73.7,72.1
01017,13448.0,42289.0,53505.0,8553.0,53567.0,61886.0,Chambers County, Alabama,33103.0,5711.0,17.3,Chambers County, Alabama,AL,Chambers,6.0,0.0,0.0,1.0,Alabama,Chambers County,none,1.1,3.1,39.6,2.4,69.4,58.6,68.7,13448.0,0.9,32.5,81.6,42289.0,22754.0,0.3,0.3,0.0,2.46,33660.0,4.0,10.3,7.9,57.7,55.5
01019,10737.0,41919.0,57617.0,7307.0,55542.0,66438.0,Cherokee County, Alabama,25571.0,3560.0,13.9,Cherokee County, Alabama,AL,Cherokee,6.0,0.0,0.0,1.0,Alabama,Cherokee County,none,0.2,2.94,4.6,1.6,70.7,57.3,71.4,10737.0,1.1,22.7,81.6,41919.0,23121.0,1.1,0.4,0.0,2.39,25903.0,4.4,8.6,9.1,92.9,91.7
