FIPS,State,County,UnempRate2020,PctEmpChange1920,UnempRate2019,PctEmpChange1819,UnempRate2018,UnempRate2017,UnempRate2016,UnempRate2015,UnempRate2014,UnempRate2010,UnempRate2007,PctEmpChange1020,PctEmpChange0720,PctEmpChange0710,PctEmpAgriculture,PctEmpMining,PctEmpConstruction,PctEmpManufacturing,PctEmpTrade,PctEmpTrans,PctEmpInformation,PctEmpFIRE,PctEmpServices,PctEmpGovt,NumCivEmployed,NumCivLaborForce2012,NumUnemployed2011,UnempRate2012,NumEmployed2011,NumEmployed2012,NumCivLaborForce2011,UnempRate2011,NumUnemployed2010,NumEmployed2010,NumCivLaborForce2010,NumUnemployed2009,NumEmployed2009,NumCivLaborForce2009,NumUnemployed2008,UnempRate2013,NumEmployed2008,NumCivLaborForce2008,UnempRate2009,UnempRate2008,NumEmployed2016,NumEmployed2020,NumCivLaborforce2020,NumUnemployed2020,NumEmployed2019,NumUnemployed2019,NumCivLaborforce2019,NumUnemployed2018,NumEmployed2018,NumCivLaborforce2018,NumUnemployed2017,NumEmployed2017,NumEmployed2013,NumUnemployed2016,NumUnemployed2012,NumCivLaborforce2016,NumCivLaborforce2015,NumEmployed2015,NumUnemployed2015,NumUnemployed2014,NumEmployed2014,NumCivLaborforce2014,NumUnemployed2013,NumCivLaborforce2013,NumUnemployed2007,NumEmployed2007,NumCivLaborforce2007,NumCivLaborforce2017
00000,US,United States,8.1,-6,3.7,1.3,3.9,4.4,4.9,5.3,6.2,9.6,4.6,5.9,1.7,-4,1.259202071,0.51272268,6.592261663,10.10800771,13.74533368,5.363914233,2.011223234,6.555840064,49.24412879,4.60736588,154842185,155038121,13831817,8.1,140688861,142527201,154520678,9,14860707,139393814,154254521,14230755,139594699,153825454,8900688,7.4,144860349,153761037,9.3,5.8,150949349,147677360,160611064,12933704,157154185,5986120,163140305,6288584,155152550,161441134,6977228,153237150,143905037,7725602,12510920,158674951,156840649,148554918,8285731,9617207,146318952,155936159,11457241,155362278,7034917,145156133,152191050,160214378
01000,AL,Alabama,5.9,-3.2,3,2.3,3.9,4.6,5.9,6.1,6.7,10.4,4.1,6.6,0.3,-5.9,0.993189611,0.398210342,6.604989835,14.33256857,14.08373479,5.454652081,1.519607282,5.523166001,45.67804465,5.411836841,2097384,2178508,210958,8.2,1991379,2000848,2202337,9.6,228204,1968824,2197028,217809,1938784,2156593,127275,7.3,2049579,2176854,10.1,5.8,2029157,2099062,2230118,131056,2169395,67883,2237278,86315,2120704,2207019,99059,2073396,2012828,126572,177660,2155729,2152295,2020443,131852,146010,2018705,2164715,159274,2172102,88418,2092030,2180448,2172455
01001,AL,Autauga,4.9,-3.9,2.7,1.7,3.6,4,5.1,5.2,5.8,8.8,3.4,4.7,4.1,-0.5,0.517902292,0.35478346,6.072098524,12.95163527,12.44596689,6.797977327,1.362042248,5.978305195,44.08286437,9.436424435,24522,25762,2157,7.1,23688,23932,25845,8.3,2268,23481,25749,2196,22464,24660,1311,6.3,23376,24687,8.9,5.3,24395,24576,25838,1262,25561,720,26281,941,25140,26081,1040,24858,24155,1315,1830,25710,25541,24206,1335,1489,24150,25639,1628,25783,824,23610,24434,25898
01003,AL,Baldwin,5.6,-3.6,2.8,3.7,3.6,4.2,5.4,5.6,6.1,9.9,3.2,21.3,13.9,-6.1,0.952771556,0.257647937,8.585460243,9.249035135,16.47790012,5.003628104,1.525906763,7.520164895,45.20301606,5.224469193,95091,84507,7618,7.7,77459,77973,85077,9,8268,75283,83551,7364,74950,82314,3983,6.7,79222,83205,8.9,4.8,84972,91338,96763,5425,94713,2711,97424,3445,91375,94820,3844,87994,79466,4806,6534,89778,87493,82619,4874,5281,81265,86546,5740,85206,2616,80213,82829,91838
01005,AL,Barbour,7,-2.4,3.8,2.9,5.1,6,8.4,8.9,10.5,12.1,6.4,-11.1,-17.7,-7.4,5.717342209,0,6.810887912,23.04766433,12.81350291,6.632592417,0.606204683,3.720432664,33.63841674,7.012956139,8413,9377,1127,11.8,8716,8273,9843,11.4,1241,8978,10219,1309,8635,9944,926,10.4,9249,10175,13.2,9.1,7638,7982,8587,605,8177,325,8502,430,7949,8379,498,7800,8152,696,1104,8334,8590,7823,767,929,7930,8859,944,9096,665,9698,10363,8298
01007,AL,Bibb,6.6,-3.6,3.1,1.7,4,4.5,6.5,6.7,7.2,11.2,4.2,1.7,-4.5,-6.1,1.967330392,1.895791105,9.848575176,16.89519494,12.90091809,5.723142959,1.263860737,5.341600095,39.02468105,5.138905449,8387,8808,932,8.8,8000,8037,8932,10.4,1005,7931,8936,1059,7637,8696,526,8,8225,8751,12.2,6,7986,8067,8640,573,8371,268,8639,340,8229,8569,385,8142,8000,553,771,8539,8552,7983,569,614,7959,8573,699,8699,367,8443,8810,8527
01009,AL,Blount,4.1,-3.5,2.7,1.8,3.5,4.2,5.4,5.4,6.1,9.7,3.2,5.1,-8.4,-12.8,1.446365835,0.634210887,9.718483369,17.15563261,14.82410914,6.880503719,0.857781631,6.063786102,37.8792718,4.539854907,21917,24978,2173,7.1,22951,23216,25124,8.6,2419,22509,24928,2421,24005,26426,1288,6.4,25405,26693,9.2,4.8,23061,23653,24661,1008,24516,680,25196,874,24086,24960,1025,23631,23277,1319,1762,24380,24416,23089,1327,1497,23074,24571,1583,24860,867,25816,26683,24656
01011,AL,Bullock,5.5,-1.2,3.7,1.3,4.6,5.1,6.9,8,8.8,11.7,9.6,4.3,37.4,31.8,4.908543644,0,5.140078722,36.25839315,5.556841862,5.556841862,0.463070155,3.056263024,28.57142857,10.48853901,4319,4742,555,10.6,4274,4240,4829,11.5,576,4365,4941,534,3179,3713,397,9.5,3244,3641,14.4,10.9,4457,4553,4818,265,4608,177,4785,221,4549,4770,244,4576,4322,328,502,4785,4765,4385,380,415,4323,4738,452,4774,353,3313,3666,4820
01013,AL,Butler,8.8,-6.5,3.7,3.8,4.7,5.7,6.9,7.6,8.5,13.4,6.3,3,-3.5,-6.3,2.496847415,0.075662043,3.94703657,25.01891551,12.66078184,4.943253468,1.336696091,3.404791929,41.18537201,4.930643127,7930,9103,1134,11.8,8046,8029,9180,12.4,1237,8015,9252,1362,7671,9033,800,10.4,8263,9063,15.1,8.8,8484,8255,9056,801,8832,340,9172,423,8512,8935,508,8412,8189,632,1074,9116,9113,8417,696,789,8496,9285,955,9144,573,8551,9124,8920
01015,AL,Calhoun,7.1,-3.3,3.6,1,4.6,5.1,6.6,7.1,7.9,11.2,4,-6.2,-18.6,-13.2,1.058543511,0.346584266,5.687322532,17.74260899,15.3081677,4.518122599,1.448972774,4.288458326,42.43360615,7.167613162,47896,49717,5285,9.1,45986,45196,51271,10.3,5779,45798,51577,5482,48278,53760,3203,8.9,51371,54574,10.2,5.9,42470,42980,46240,3260,44440,1642,46082,2129,43981,46110,2332,43324,44068,2980,4521,45450,45808,42566,3242,3759,43562,47321,4313,48381,2201,52782,54983,45656
01017,AL,Chambers,6.8,-3.3,2.9,4,3.9,4.2,5.5,6.1,6.7,14.6,6.6,17.5,2.1,-13.2,1.250252067,0.188209989,4.288499025,31.44451166,11.47408752,3.703703704,1.962761309,3.401223365,37.51428379,4.772467567,14877,15160,1799,10.1,13386,13630,15185,11.8,2153,12581,14734,2624,11863,14487,2243,8.1,12823,15066,18.1,14.9,14044,14787,15865,1078,15287,462,15749,595,14705,15300,637,14521,14028,814,1530,14858,14939,14031,908,1021,14308,15329,1235,15263,1028,14489,15517,15158
01019,AL,Cherokee,4.6,-3.5,2.9,1.5,3.6,4.2,5.1,5.5,5.8,10.5,4.3,7,-4.5,-10.7,3.436873748,0,7.575150301,24.31863727,11.07214429,6.813627255,0.921843687,2.885771543,37.99599198,4.97995992,9980,11278,1104,8.2,10369,10350,11473,9.6,1199,10267,11466,1255,10460,11715,712,6.7,11287,11999,10.7,5.9,10671,10983,11513,530,11386,340,11726,415,11222,11637,475,10834,10627,570,928,11241,11132,10521,611,659,10748,11407,765,11392,512,11500,12012,11309
01021,AL,Chilton,5,-3.5,2.7,2.5,3.6,4.2,5.5,5.7,6.2,10.1,3.5,6.4,-2.5,-8.3,1.586214767,0.901517745,14.49275362,14.84080794,16.44984594,6.978203812,0.770284149,7.006732854,32.28917038,4.684468789,17526,19396,1775,7.4,17761,17960,19536,9.1,1972,17502,19474,1892,17501,19393,1026,6.7,18583,19609,9.8,5.2,17982,18618,19592,974,19296,545,19841,704,18834,19538,807,18396,18052,1047,1436,19029,19089,18005,1084,1192,17938,19130,1287,19339,684,19093,19777,19203
01023,AL,Choctaw,6.7,-2.6,4.7,-1,5.5,6.5,8.5,9.2,9,13,6.1,2.1,-11.7,-13.5,6.086748143,3.426791277,8.698777858,15.86388689,16.60675773,5.128205128,0.647016535,2.516175413,37.04768752,3.977953511,4173,4798,620,10.5,4140,4292,4760,13,632,4225,4857,632,4474,5106,438,9.4,4638,5076,12.4,8.6,3926,4313,4621,308,4427,218,4645,258,4471,4729,286,4112,4261,366,506,4292,4369,3969,400,403,4098,4501,440,4701,315,4882,5197,4398
01025,AL,Clarke,9,-1.1,5.8,1.3,7.4,8.8,10.9,11.8,12.1,19.5,6.2,-3.4,-27.5,-24.9,2.844272844,0.720720721,8.391248391,25.31531532,12.80566281,6.396396396,0.656370656,4.208494209,34.68468468,3.976833977,7770,8397,1642,15.4,7185,7107,8827,18.6,1772,7316,9088,1570,8728,10298,965,14,9401,10366,15.2,9.3,7030,7069,7769,700,7151,437,7588,566,7062,7628,676,7049,7130,859,1290,7889,7976,7036,940,989,7177,8166,1156,8286,642,9744,10386,7725
01027,AL,Clay,4,-0.8,3,2.2,3.8,4.5,6,6.2,7.1,14.2,5.6,16.4,0.9,-13.3,2.894879682,0,6.260177311,29.92581871,14.5648634,4.070924552,1.302695857,4.070924552,32.56739642,4.342319522,5527,5419,656,9.6,4937,4899,5593,11.7,828,5016,5844,859,4737,5596,470,8.5,5269,5739,15.4,8.2,5247,5838,6083,245,5886,182,6068,228,5757,5985,259,5522,4933,332,520,5579,5535,5194,341,393,5128,5521,457,5390,346,5784,6130,5781
01029,AL,Cleburne,4.6,-2.1,3.2,1.2,4.2,4.6,6,6.1,6.6,9.8,3.7,0.6,-12.5,-13,4.310495882,0,12.5284738,21.42982302,13.87769406,4.573330997,0.578237253,3.942526722,33.88820746,4.871210794,5707,5842,572,8.4,5367,5351,5939,9.6,594,5441,6035,606,5893,6499,344,7.8,6213,6557,9.3,5.2,5394,5475,5737,262,5590,183,5773,245,5525,5770,265,5444,5372,344,491,5738,5664,5321,343,385,5479,5864,453,5825,242,6255,6497,5709
01031,AL,Coffee,4.4,-2.6,2.9,5,3.9,4.5,5.9,6,6.6,8.5,3.9,6.4,1.3,-4.9,2.962523394,0.406262838,5.267722646,11.9505181,12.69913726,8.700415392,1.15031725,3.761354818,43.56598348,9.535764824,21907,20625,1677,7.2,19068,19135,20745,8.1,1786,19313,21099,1668,19755,21423,1049,7,19859,20908,7.8,5,19227,20558,21502,944,21108,633,21741,820,20096,20916,944,19887,19065,1202,1490,20429,20222,19010,1212,1338,18926,20264,1430,20495,820,20304,21124,20831
01033,AL,Colbert,6.6,-3.5,3.8,2,4.6,5.4,7,8,8.3,11.3,4.7,2.4,-9.2,-11.3,0.994218641,0.183952348,7.152242467,19.44639103,14.91327961,6.21058164,1.182550806,4.095129643,42.04625088,3.775402943,22832,24057,2470,9,21915,21895,24385,10.1,2730,21499,24229,2699,22625,25324,1693,8.3,23478,25171,10.7,6.7,21640,22008,23558,1550,22811,892,23703,1070,22371,23441,1245,21950,21891,1621,2162,23261,23550,21673,1877,1987,22082,24069,1988,23879,1196,24250,25446,23195
01035,AL,Conecuh,7.3,-2.8,4,1.4,5.2,6.3,8.4,9.3,10.3,16.9,6.5,1.4,-9.8,-11,5.245746692,0.448960303,5.552930057,18.50189036,19.58884688,8.648393195,1.819470699,5.741965974,26.65406427,7.797731569,4232,4643,719,12.2,4059,4077,4778,15,842,4140,4982,894,3959,4853,473,10.9,4413,4886,18.4,9.7,4131,4198,4529,331,4320,179,4499,232,4261,4493,283,4196,4183,381,566,4512,4671,4238,433,485,4239,4724,511,4694,326,4653,4979,4479
01037,AL,Coosa,5.5,-5,3,3.4,4.1,4.8,6,6.7,8.8,15.1,5.9,5.2,-6.1,-10.7,0.309376487,0.832936697,10.39980961,21.63255593,12.04188482,7.425035697,0.809138506,5.235602094,36.64921466,4.664445502,4202,4451,552,9.6,3920,4025,4472,12.3,702,3946,4648,673,3884,4557,398,9.3,4266,4664,14.8,8.5,4084,4150,4392,242,4370,135,4505,182,4226,4408,211,4157,4036,260,426,4344,4416,4119,297,392,4082,4474,413,4449,277,4421,4698,4368
01039,AL,Covington,4.9,-3.8,3.5,0.9,4.6,5.4,6.8,7.2,7.7,10.2,4,-2.2,-12.2,-10.2,3.488058292,2.516529483,7.461880988,15.45675347,13.22358656,9.094589124,1.106463365,3.434084469,39.32667656,4.891377682,14822,16364,1600,8.6,14772,14960,16372,9.8,1675,14753,16428,1651,15021,16672,1032,8.2,15773,16805,9.9,6.1,14325,14434,15172,738,15007,538,15545,711,14874,15585,842,14836,14737,1041,1404,15366,15422,14314,1108,1234,14706,15940,1318,16055,676,16432,17108,15678
01041,AL,Crenshaw,5.7,-5.7,2.8,2.8,4,4.7,5.9,6,6.9,10,4.4,4.2,-6,-9.8,5.04587156,0.476358504,7.727593507,18.52505293,16.44318984,5.504587156,0.829216655,4.128440367,33.76852505,7.551164432,5668,6257,631,8.5,5801,5725,6432,9.8,632,5658,6290,614,5810,6424,371,7.8,6093,6464,9.6,5.7,6024,5896,6253,357,6253,183,6436,256,6085,6341,299,6088,5817,377,532,6401,6339,5957,382,435,5875,6310,489,6306,289,6273,6562,6387
