FIPS,State,County,PopChangeRate1819,PopChangeRate1019,TotalPopEst2019,NetMigrationRate1019,NaturalChangeRate1019,Net_International_Migration_Rate_2010_2019,PopChangeRate0010,NetMigrationRate0010,NaturalChangeRate0010,Immigration_Rate_2000_2010,PopDensity2010,Under18Pct2010,Age65AndOlderPct2010,WhiteNonHispanicPct2010,BlackNonHispanicPct2010,AsianNonHispanicPct2010,NativeAmericanNonHispanicPct2010,HispanicPct2010,MultipleRacePct2010,NonHispanicWhitePopChangeRate0010,NonHispanicBlackPopChangeRate0010,NonHispanicAsianPopChangeRate0010,NonHispanicNativeAmericanPopChangeRate0010,HispanicPopChangeRate0010,MultipleRacePopChangeRate0010,WhiteNonHispanicNum2010,BlackNonHispanicNum2010,AsianNonHispanicNum2010,NativeAmericanNonHispanicNum2010,HispanicNum2010,MultipleRaceNum2010,ForeignBornPct,ForeignBornEuropePct,ForeignBornMexPct,NonEnglishHHPct,Ed1LessThanHSPct,Ed2HSDiplomaOnlyPct,Ed3SomeCollegePct,Ed4AssocDegreePct,Ed5CollegePlusPct,AvgHHSize,FemaleHHPct,HH65PlusAlonePct,OwnHomePct,ForeignBornNum,TotalPopACS,ForeignBornAfricaPct,Ed3SomeCollegeNum,Ed2HSDiplomaOnlyNum,Ed1LessThanHSNum,TotalPop25Plus,Ed5CollegePlusNum,TotalOccHU,ForeignBornAsiaPct,Ed4AssocDegreeNum,ForeignBornEuropeNum,NonEnglishHHNum,HH65PlusAloneNum,OwnHomeNum,FemaleHHNum,TotalHH,ForeignBornCentralSouthAmPct,ForeignBornCentralSouthAmNum,ForeignBornCaribPct,ForeignBornCaribNum,ForeignBornAfricaNum,ForeignBornAsiaNum,ForeignBornMexNum,LandAreaSQMiles2010,Age65AndOlderNum2010,TotalPop2010,Under18Num2010,Net_International_Migration_2000_2010,NaturalChangeNum0010,NetMigrationNum0010,TotalPopEst2012,TotalPopEst2013,TotalPopEst2010,TotalPopEst2014,TotalPopEst2011,Net_International_Migration_2010_2019,NaturalChange1019,TotalPopEst2015,TotalPopEst2016,TotalPopEst2017,NetMigration1019,TotalPopEst2018,TotalPopEstBase2010
00000,US,United States,0.475,6.116,328239523,2.485,3.631,2.485,9.71,,,,87.42,24.03,13.04,63.75,12.21,4.69,0.73,16.35,2.92,1.16,11.01,42.89,8.61,42.97,31.98,196817552,37685848,14465124,2247098,50477594,9009073,13.55457526,1.46716272,3.464926825,4.396049795,11.99891755,26.95684361,20.41713088,8.481566006,32.14554195,2.62,12.43578624,10.98062268,63.99214141,44011407,324697795,0.695007184,45044698,59472748,26472261,220622076,70920162,120756048,4.201346671,18712207,4763845,5308496,13259766,77274381,15016964,120756048,5.520748609,17925749,1.335359854,4335884,2256673,13641680,11250541,3531905.43,40267984,308745538,74181467,,,,313830990,315993715,309321666,318301008,311556874,7685444,11232413,320635163,322941311,324985539,7685444,326687501,308758105
01000,AL,Alabama,0.317,2.461,4903185,1.059,1.402,0.809,7.48,3.30,3.30,1.222930915,94.38,23.69,13.76,67.04,26.04,1.11,0.54,3.88,1.49,2.51,8.20,70.83,19.84,144.76,61.28,3204402,1244437,52937,25907,185602,71251,3.546721354,0.408285055,1.005936939,1.218324604,13.81930135,30.80026752,21.41085021,8.501248315,25.46833261,2.55,14.16660376,11.67400916,68.78059932,172947,4876250,0.185388362,711028,1022839,458922,3320877,845772,1867893,1.116923866,282316,19909,22757,218058,1284748,264617,1867893,1.60664445,78344,0.143040246,6975,9040,54464,49052,50645.33,657792,4779736,1132459,54447,147019.5,147119,4815588,4830081,4785437,4841799,4799069,38731,67083,4852347,4863525,4874486,50665,4887681,4780125
01001,AL,Autauga,0.605,2.001,55869,0.686,1.315,-0.029,24.96,11.87,5.46,-0.010222394,91.80,26.78,12.00,77.25,17.58,0.86,0.40,2.40,1.59,21.05,29.17,140.72,16.67,114.75,114.57,42154,9595,467,217,1310,869,2.345612134,0.346695558,0.474900686,0.715053512,11.48339444,33.58846041,19.95075869,8.405812615,26.57157385,2.56,13.00182269,10.3706127,73.29064822,1299,55380,0.23654749,7455,12551,4291,37367,9929,21397,0.895630191,3141,192,153,2219,15682,2782,21397,0.707836764,392,0.130010834,72,131,496,263,594.44,6546,54571,14613,-4.5,2403.5,5224,54954,54727,54773,54893,55227,-16,720,54864,55243,55390,376,55533,54597
01003,AL,Baldwin,2.469,21.911,223234,21.001,0.91,0.714,29.80,26.17,3.32,1.584454727,114.65,22.99,16.77,83.50,9.31,0.74,0.63,4.38,1.49,25.92,18.17,152.35,52.19,224.09,85.74,152200,16966,1340,1146,7992,2723,3.723159329,0.817553916,0.829770239,1.186210305,9.193842977,27.65961671,21.83678331,9.447297369,31.86245963,2.59,9.699740517,12.67515137,75.24527369,7924,212830,0.129680966,32998,41797,13893,151112,48148,80930,0.655452709,14276,1740,960,10258,60896,7850,80930,1.79392003,3818,0.187003712,398,276,1395,1766,1589.78,30568,182265,41898,2239.5,4686.5,36984,190145,194885,183112,199183,186558,1307,1667,202939,207601,212521,38455,217855,182265
01005,AL,Barbour,-0.748,-9.664,24686,-8.797,-0.867,0.161,-5.44,-4.80,2.29,1.828364639,31.03,21.91,14.24,46.75,46.69,0.39,0.22,5.05,0.94,-13.19,-4.11,28.92,-49.58,190.17,21.70,12837,12820,107,60,1387,258,2.716769844,0.224754544,1.281495209,1.615837346,26.78690715,35.60454242,18.82654197,7.20329548,11.57871298,2.41,18.40556447,13.92188336,60.8988764,689,25361,0,3382,6396,4812,17964,2080,9345,0.449509089,1294,57,151,1301,5691,1720,9345,1.943929656,493,0.011829187,3,0,114,325,884.88,3909,27457,6015,530.5,664,-1393,27169,26937,27327,26755,27341,44,-237,26283,25806,25157,-2404,24872,27455
01007,AL,Bibb,0.121,-2.081,22394,-2.099,0.017,0.525,10.03,6.43,2.10,0.341485462,36.81,22.70,12.68,75.02,21.92,0.10,0.28,1.77,0.89,8.32,9.60,29.41,39.13,93.33,89.72,17191,5024,22,64,406,203,1.511581381,0.088916552,0.080024897,0.580467276,20.94260267,44.87877288,16.4460663,7.354032657,10.37852548,2.99,11.37715861,11.63836889,74.4159048,340,22493,0,2659,7256,3386,16168,1678,6891,0.182278931,1189,20,40,802,5128,784,6891,1.102565243,248,0.137820655,31,0,41,18,622.58,2906,22915,5201,68,417.5,1280,22667,22521,22870,22553,22745,120,4,22566,22586,22550,-480,22367,22915
01009,AL,Blount,0.095,0.784,57826,-0.005,0.79,0.207,12.34,12.27,3.14,2.07701489,88.90,24.61,14.72,88.89,1.26,0.20,0.50,8.07,1.19,8.41,21.07,64.29,34.43,70.20,31.79,50952,724,115,285,4626,684,4.540489936,0.258317297,3.198626931,1.770038855,19.50943681,33.42213063,21.44454776,12.53047171,13.09341308,2.74,9.253129947,11.23423034,78.77872116,2619,57681,0.081482637,8533,13299,7763,39791,5210,20847,0.265251989,4986,149,369,2342,16423,1929,20847,3.699658466,2134,0.14909589,86,47,153,1845,644.78,8439,57322,14106,1061.5,1606,6268.5,57580,57619,57376,57526,57560,119,453,57526,57494,57787,-3,57771,57322
01011,AL,Bullock,-0.718,-7.126,10101,-7.769,0.644,0.699,-6.83,-9.13,3.20,3.661169156,17.52,22.26,13.46,21.92,69.97,0.18,0.18,7.12,0.79,-13.46,-10.00,-4.76,-45.95,141.30,4.88,2392,7637,20,20,777,86,0.702576112,0.136612022,0,1.363249077,25.32037741,40.27601746,17.87072243,4.478242501,12.05464019,2.79,22.35160466,11.55921613,71.11616018,72,10248,0.068306011,1269,2860,1798,7101,856,3521,0.087822014,318,14,48,407,2504,787,3521,0.341530055,35,0.068306011,7,7,9,0,622.80,1469,10914,2430,424,371,-1057.5,10606,10549,10876,10663,10675,76,70,10400,10389,10176,-845,10174,10911
01013,AL,Butler,-0.932,-7.09,19448,-5.738,-1.352,0.697,-2.11,-6.67,-0.25,0.206330598,26.96,24.14,16.66,54.06,43.19,0.83,0.28,0.91,0.77,-8.89,4.34,411.76,34.09,33.57,91.67,11324,9047,174,59,191,161,0.77163607,0.292515635,0.161387936,0.307408546,14.95043057,45.18416673,16.36876764,7.359432665,16.1372024,3,16.5539502,12.60375038,69.95081463,153,19828,0,2262,6244,2066,13819,2230,6506,0.3177325,1017,58,20,820,4551,1077,6506,0.161387936,32,0,0,0,63,32,776.83,3489,20947,5056,44,-52.5,-1423,20670,20356,20932,20327,20866,146,-283,20162,20012,19888,-1201,19631,20940
01015,AL,Calhoun,-0.635,-4.056,113605,-3.268,-0.788,0.471,5.63,1.48,1.62,0.714793709,195.71,22.88,14.33,73.61,20.39,0.70,0.40,3.28,1.67,-0.36,16.66,32.80,12.41,122.08,82.70,87285,24177,830,480,3893,1975,2.661885568,0.485962065,0.993735713,0.948324179,15.56732568,32.79061536,24.9772463,8.183748799,18.48106386,2.5,15.90628853,11.38885775,70.06837798,3051,114618,0.094226038,19759,25940,12315,79108,14620,44605,0.697098187,6474,557,423,5080,31254,7095,44605,1.29037324,1479,0.073286918,84,108,799,1139,605.87,16990,118572,27126,794,1800.5,1645,117190,116471,118408,115917,117744,558,-933,115469,114973,114710,-3870,114331,118526
