FIPS,State,County,Vets18OPct,GulfWar2VetsPct,GulfWar1VetsPct,VietnamEraVetsPct,KoreanWarVetsPct,WW2VetsPct,MaleVetsPct,FemaleVetsPct,WhiteNonHispVetsPct,BlackVetsPct,HispanicVetsPct,OtherRaceVetsPct,MedianVetsInc,MedianNonVetsInc,LessThanHSVetsPct,HighSchOnlyVetsPct,SomeCollegeVetsPct,CollegeDegreeVetsPct,LFPVetsRate,UEVetsRate,PctVetsPoor,PctNonVetsPoor,PctVetsDisabilty,PctNonVetsDisabilty,CivPopVets18to64Num,CivPop18ONum,Vets18ONum,NonVetsDisabilty,NonVetsPoor,VetsDisabilty,VetsPoor,CLFVets18to64Num
00000,US,United States,7.286424229,19.31263748,20.71974922,35.71083385,8.118271307,3.504485549,91.11897749,8.881022507,77.16919646,11.88685532,6.933229155,5.968600006,42455,30903,5.897846804,27.97130903,37.31645104,28.81439312,76.60227307,4.379650526,8.153656075,12.84469332,18.29460544,9.935823586,9143042,250195726,18230322,18404982,23793332,1648352,734648,7003778
01000,AL,Alabama,8.766780183,21.52074305,24.64999228,36.22666994,7.214868249,2.170153873,89.79428056,10.20571944,72.53419825,22.94560685,2.022064947,3.05959595,40874,25469,6.396034208,28.25718861,37.38536956,27.96140762,71.33051862,4.319786029,9.410375601,16.32945208,22.34978535,13.81482432,177164,3766571,330207,373473,441454,38993,16418,126372
01001,AL,Autauga,12.63511084,37.70864947,37.5,31.88543247,7.169954477,4.191957511,87.25341426,12.74658574,84.02883156,9.673748103,5.57663126,1.119119879,59753,26251,3.0078125,20.859375,31.62109375,44.51171875,86.54934004,3.558460421,4.611497157,14.75955775,20.05685407,15.39896097,3182,41725,5272,4624,4432,635,146,2754
01003,AL,Baldwin,11.81549962,19.03066673,22.3312821,42.51640136,7.877739918,2.380104765,92.14768855,7.852311448,90.62198037,5.360321416,1.439251386,2.929359711,41651,28305,3.612916432,27.65979223,36.67673098,32.05056036,74.92770697,3.430531732,7.675557975,10.46786787,17.06042461,11.28856431,9337,166417,19663,12737,11811,1567,705,6996
01005,AL,Barbour,6.622120275,15.73795181,16.94277108,48.4939759,7.605421687,3.388554217,92.09337349,7.906626506,59.56325301,37.34939759,1.054216868,3.087349398,22772,18060,12.34939759,39.83433735,36.74698795,11.06927711,49.75206612,9.966777409,15.46184739,28.0563102,26.70682731,17.37054417,605,20054,1328,2110,3408,133,77,301
01007,AL,Bibb,8.022617848,17.0969993,25.40125611,36.35729239,6.210746685,3.768318214,95.88276343,4.117236567,79.13468248,18.49267271,2.372644801,0,34322,21332,6.901509705,54.70884256,22.28612509,16.10352265,56.90140845,0,11.62079511,17.35606251,25.5351682,16.3365923,710,17862,1433,1955,2077,167,76,404
01009,AL,Blount,7.720812527,19.25665789,15.21802751,36.3476734,9.277143693,2.282704126,91.77641206,8.223587943,94.29323968,1.287679251,2.985074627,2.985074627,33333,26749,11.65590135,33.73458602,38.66705813,15.94245449,64.52830189,7.309941521,7.358490566,12.71278748,21.19496855,11.33414247,1590,44257,3417,3642,4085,337,117,1026
01011,AL,Bullock,3.28817734,16.47940075,40.07490637,41.19850187,1.123595506,0,89.13857678,10.86142322,28.08988764,71.91011236,0,0,31981,21341,5.992509363,30.33707865,50.18726592,13.48314607,62.65060241,0,1.204819277,24.54048684,28.91566265,8.577579069,166,8120,267,518,1482,48,2,104
01013,AL,Butler,6.581174326,14.44114738,16.91394659,44.01582591,9.00098912,3.264094956,91.79030663,8.209693373,61.91889219,36.20178042,0,1.879327399,34551,19455,5.168986084,28.13121272,45.72564612,20.97415507,61.61879896,11.86440678,23.93617021,21.13590635,23.67021277,14.01134077,383,15362,1011,1532,2311,89,90,236
01015,AL,Calhoun,10.84311657,18.96284029,21.62302039,41.77621364,4.130007246,1.656143256,91.20173895,8.79826105,74.58855191,20.95021219,2.121933547,2.908601594,38563,22872,6.948072302,27.70870337,43.49597743,21.84724689,70.87433762,4.32576769,9.883609998,18.15150685,35.35584812,18.16761432,5284,89098,9661,11279,11269,1853,518,3745
01017,AL,Chambers,7.907309183,21.26546147,14.12940057,48.57278782,2.04567079,1.902949572,87.72597526,12.27402474,65.08087536,31.49381541,1.855375833,1.569933397,30778,22655,17.45,27.45,38.6,16.5,76.21890547,1.566579635,15.16064257,16.30170316,24.09638554,16.46038295,1005,26583,2102,3112,3082,240,151,766
01019,AL,Cherokee,9.115112789,8.178438662,14.81678173,47.10568242,5.523101434,2.655337228,95.64524695,4.354753054,95.48592671,4.248539565,0,0.265533723,33503,22535,10.88688263,38.82103027,34.41317047,15.87891662,85.0921273,0.393700787,4.18760469,14.99893925,15.91289782,15.81217736,597,20658,1883,2236,2121,95,25,508
01021,AL,Chilton,7.609216038,14.3138026,21.82461659,39.4416044,6.567046795,1.179709005,90.16909162,9.830908376,79.15847424,13.48800629,3.735745183,4.561541486,35780,23553,8.81074674,51.08652706,27.93362307,12.16910312,70.15926236,2.986857826,6.052855925,20.32637389,23.61466326,19.4424446,1193,33420,2543,4861,5082,277,71,837
01023,AL,Choctaw,8.612671963,13.94825647,22.83464567,33.29583802,7.986501687,1.57480315,94.15073116,5.849268841,57.70528684,42.29471316,0,0,33246,20310,13.51351351,51.35135135,29.16666667,5.968468469,50.43859649,6.956521739,7.675438597,24.19449326,35.30701754,23.25717633,456,10322,889,1588,1652,161,35,230
01025,AL,Clarke,6.240365705,20.18739353,18.56899489,36.11584327,10.1362862,1.788756388,87.39352641,12.60647359,64.65076661,33.04940375,1.95911414,1.873935264,25435,21594,13.9693356,31.17546848,38.92674617,15.92844974,63.52739726,11.5902965,22.27979275,23.43808315,24.17962003,15.42882735,584,18813,1174,2067,3140,140,129,371
01027,AL,Clay,5.985415286,13.13291139,20.7278481,56.01265823,0,0,95.09493671,4.905063291,89.71518987,8.860759494,0,1.424050633,34702,21968,1.898734177,40.03164557,35.60126582,22.46835443,61.77777778,0,17.33333333,16.24191206,31.55555556,13.81222765,225,10559,632,1046,1230,71,39,139
01029,AL,Cleburne,6.054025884,14.20373027,12.05164993,43.90243902,10.76040172,4.878048781,91.39167862,8.608321377,97.84791966,0.286944046,0,1.865136298,32083,23091,12.91248207,32.71162123,38.16355811,16.21233859,74.91961415,4.721030043,8.609271523,15.34629405,21.19205298,21.2272175,311,11513,697,1747,1263,64,26,233
01031,AL,Coffee,16.39836147,39.23627685,43.0071599,29.00556881,5.011933174,1.575178998,86.42800318,13.57199682,77.50198886,14.49482896,5.934765314,3.436754177,61912,23538,5.234337252,18.05443711,43.30810114,33.4031245,81.0175186,3.791469194,4.345738295,15.28617135,18.727491,15.34542007,4167,38327,6285,3885,3870,780,181,3376
01033,AL,Colbert,8.902840198,17.22612542,17.14806141,33.25526932,11.26723914,1.795472287,93.44262295,6.557377049,78.94873797,16.28935727,0.598490762,4.475670049,37182,24746,6.01997897,40.45741325,37.25026288,16.2723449,73.4672849,1.332398317,10.5615662,15.42054538,24.7810407,15.75277129,1941,43166,3843,4789,4688,481,205,1426
01035,AL,Conecuh,5.873340143,5.565217391,23.47826087,44.34782609,5.565217391,0,78.60869565,21.39130435,75.13043478,24.86956522,0,0,27140,20717,20.14010508,30.29772329,29.07180385,20.49036778,76.86567164,0,10.07462687,16.08973407,30.59701493,16.56514634,268,9790,575,1115,1083,82,27,206
01037,AL,Coosa,10.42903551,18.58216971,23.73791622,30.39742213,5.585392052,3.437164339,87.3254565,12.6745435,70.1396348,28.78625134,1.074113856,0,32908,19448,5.027322404,36.50273224,35.84699454,22.62295082,66.79174484,1.685393258,10.24667932,12.61341398,22.58064516,17.43462017,533,8927,931,980,709,119,54,356
01039,AL,Covington,9.988970081,12.73291925,16.0110421,43.82332643,9.730848861,2.449965493,91.20082816,8.799171843,91.99447895,6.245686681,1.000690131,1.242236025,29410,24413,10.8005521,37.40510697,30.43478261,21.35955832,67.29200653,5.818181818,10.85335543,17.53286148,26.09776305,16.809909,1226,29012,2898,3325,3468,315,131,825
01041,AL,Crenshaw,6.638576779,14.9506347,16.36107193,44.99294781,7.334273625,0,92.66572638,7.334273625,82.51057828,13.39915374,0,4.090267983,28214,21223,9.871244635,38.34048641,37.33905579,14.44921316,73.04964539,0,23.40425532,13.92078441,35.10638298,19.429751,282,10680,709,1506,1079,99,66,206
01043,AL,Cullman,8.030187267,19.82524272,23.18446602,39.74757282,6.388349515,1.067961165,88.38834951,11.61165049,95.72815534,1.300970874,0.233009709,2.737864078,31060,23964,8.903576983,34.91446345,43.37091757,12.81104199,63.59111792,9.030704395,18.17478732,14.50139836,31.3225058,15.19402202,2612,64133,5150,6954,6637,810,470,1661
01045,AL,Dale,16.39126252,32.02140514,34.14465735,33.69583981,4.678059727,1.001208355,87.29501122,12.70498878,71.0857932,21.40514414,5.592957017,4.626273088,44555,20467,4.248539565,28.81926005,42.96335635,23.96884404,76.17230098,2.362204724,7.174638487,18.53573256,24.69410456,18.84700665,3668,35342,5793,4420,4347,888,258,2794
01047,AL,Dallas,6.082741441,15.55063641,15.05257333,34.75373547,8.467072496,3.431101273,93.69120089,6.308799115,38.57221915,59.0481461,1.77089098,1.494189264,32188,20525,7.984366276,33.16582915,43.99776661,14.85203797,66.53061224,2.607361963,18.26530612,26.08414837,21.83673469,15.32570585,980,29707,1807,3322,5654,214,179,652
01049,AL,DeKalb,6.28975265,10.91070373,18.77587226,38.88231815,6.91898285,1.714961561,88.64577173,11.35422827,95.56475458,0.798344175,1.034890597,3.40035482,29387,21957,13.85845425,32.36600533,35.09031685,18.68522357,64.06153846,3.554274736,12.67252196,19.63122557,16.62484316,11.39142199,1625,53770,3382,4547,7836,265,202,1041
01051,AL,Elmore,10.57052628,30.5125872,36.21474067,31.05853806,6.915377616,1.198058841,84.19775554,15.80224446,79.60266909,14.14922657,1.031240522,5.33818623,47322,28159,4.83002615,24.58083372,36.93277957,33.65636056,70.88639201,3.768932723,5.755395684,11.93016261,23.87423395,14.72412821,4005,62381,6594,6266,5077,896,216,2839
01053,AL,Escambia,7.36209114,13.07837583,22.42681775,37.39376771,11.37865911,0.613786591,90.74598678,9.25401322,68.83852691,22.19074599,1.322001889,7.648725213,30430,22376,8.251473477,40.86444008,36.5913556,14.29273084,61.09452736,19.54397394,10.17699115,22.82491944,37.72123894,14.91944146,1005,28769,2118,2778,4250,341,92,614
01055,AL,Etowah,8.436456614,20.53847286,20.33249963,37.50183905,8.900985729,2.618802413,91.40797411,8.592025894,84.8462557,12.69677799,0.250110343,2.36869207,35558,23250,6.254609825,31.81885234,43.14795693,18.77858091,72.0836143,5.519176801,6.155950752,15.8382898,23.39261286,17.32954056,2966,80567,6797,10052,9187,684,180,2138
