measure_id,measure_name,location_id,location_name,FIPS,cause_id,cause_name,sex_id,sex,age_id,age_name,year_id,metric,mx,upper,lower
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,1980,Rate,530.929800915521,545.876249069208,516.147776916488
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,1981,Rate,515.478435980238,529.718382159385,502.674244411232
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,1982,Rate,513.095422638064,525.948683254754,498.989882028472
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,1983,Rate,492.998255963604,505.564456799015,479.586241996406
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,1984,Rate,497.912285549801,510.445639052627,484.803763448427
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,1985,Rate,476.884162881584,488.732443432849,465.271263038757
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,1986,Rate,464.020850604538,476.856514529398,452.314684704293
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,1987,Rate,469.647085148496,481.051892087971,458.301031601767
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,1988,Rate,448.431764862966,459.588409066565,437.236706642419
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,1989,Rate,438.522796204692,449.931637180009,428.311554834137
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,1990,Rate,425.02846742344,435.469123874386,414.38689331574
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,1991,Rate,408.019053352679,418.494020877984,398.593806625961
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,1992,Rate,407.849148962854,418.740814932832,398.232350560835
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,1993,Rate,411.144241108126,421.415358930247,400.51806020701
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,1994,Rate,400.439836773272,410.842096466391,390.70046374159
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,1995,Rate,386.57575708631,396.753018490816,377.05537895405
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,1996,Rate,380.495722201159,390.859223215453,371.04073530966
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,1997,Rate,356.614228923785,365.608863857035,347.74885042033
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,1998,Rate,355.952546729386,364.768833690238,347.188362937435
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,1999,Rate,358.992170504076,367.857357865544,350.40058208391
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,2000,Rate,349.063829363517,357.943627580377,340.599294945386
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,2001,Rate,338.718580958304,347.079415046826,330.526151199626
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,2002,Rate,331.666485275395,339.702673289438,323.45261878548
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,2003,Rate,318.946789833461,326.510099985178,311.354382856668
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,2004,Rate,304.43418435825,312.011599331579,296.797376707656
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,2005,Rate,300.741174796265,307.852031637387,293.441975688676
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,2006,Rate,288.016203837833,294.938296582749,280.797057869224
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,2007,Rate,271.79993853628,278.940249667712,265.168865201454
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,2008,Rate,270.145870674542,277.003829137925,262.916196037122
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,2009,Rate,260.296062840012,266.509260962899,254.208615222546
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,2010,Rate,250.166423797812,256.687994055441,243.683054281264
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,2011,Rate,251.576264984461,257.915935930699,245.143520468986
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,2012,Rate,249.948646226871,255.786789012139,243.442059157498
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,2013,Rate,246.695248810848,252.599565686667,240.571294769867
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,1,Male,27,Age-standardized,2014,Rate,243.376769505663,249.337466301383,237.250244307676
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,2,Female,27,Age-standardized,1980,Rate,318.690313301699,330.943030178278,306.087455421308
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,2,Female,27,Age-standardized,1981,Rate,307.567106319132,318.673399117315,296.300979063465
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,2,Female,27,Age-standardized,1982,Rate,301.519082735548,312.723493737075,290.055413231234
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,2,Female,27,Age-standardized,1983,Rate,297.79537803392,308.525275664343,286.599564840884
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,2,Female,27,Age-standardized,1984,Rate,297.557055011821,308.245797375007,287.132331131763
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,2,Female,27,Age-standardized,1985,Rate,290.361503602869,301.647801765835,279.955271258303
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,2,Female,27,Age-standardized,1986,Rate,280.958447589938,291.351551423564,270.541784014041
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,2,Female,27,Age-standardized,1987,Rate,283.664936951335,293.65018842471,273.646527525705
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,2,Female,27,Age-standardized,1988,Rate,282.343281404121,291.281574618026,272.809058581861
1,Deaths,525,Arizona,4,491,Cardiovascular diseases,2,Female,27,Age-standardized,1989,Rate,274.815748868971,285.149639135805,265.564718613751
