measure_id,measure_name,location_id,location_name,FIPS,cause_id,cause_name,sex_id,sex,age_id,age_name,year_id,metric,mx,upper,lower
1,Deaths,529,Connecticut,9,491,Cardiovascular diseases,1,Male,27,Age-standardized,1980,Rate,627.86092975052,642.485956004749,613.08960535412
1,Deaths,529,Connecticut,9,491,Cardiovascular diseases,1,Male,27,Age-standardized,1981,Rate,609.189142493604,623.641879757903,594.347493184378
1,Deaths,529,Connecticut,9,491,Cardiovascular diseases,1,Male,27,Age-standardized,1982,Rate,599.344613525855,612.156815623374,585.98110862265
1,Deaths,529,Connecticut,9,491,Cardiovascular diseases,1,Male,27,Age-standardized,1983,Rate,574.906146552917,587.606362046882,562.303709584052
1,Deaths,529,Connecticut,9,491,Cardiovascular diseases,1,Male,27,Age-standardized,1984,Rate,573.447802808597,586.279328000229,560.06806195195
1,Deaths,529,Connecticut,9,491,Cardiovascular diseases,1,Male,27,Age-standardized,1985,Rate,560.002511292276,572.958986788576,546.875080137143
1,Deaths,529,Connecticut,9,491,Cardiovascular diseases,1,Male,27,Age-standardized,1986,Rate,542.330740618082,555.098930110208,529.876078040969
1,Deaths,529,Connecticut,9,491,Cardiovascular diseases,1,Male,27,Age-standardized,1987,Rate,526.65651524968,537.760686476431,514.858093398734
1,Deaths,529,Connecticut,9,491,Cardiovascular diseases,1,Male,27,Age-standardized,1988,Rate,510.399873070712,522.309499537168,498.714097242378
1,Deaths,529,Connecticut,9,491,Cardiovascular diseases,1,Male,27,Age-standardized,1989,Rate,494.397424301818,506.31451732639,483.037898826784
1,Deaths,529,Connecticut,9,491,Cardiovascular diseases,1,Male,27,Age-standardized,1990,Rate,465.19179388688,476.650750290167,454.176474409623
1,Deaths,529,Connecticut,9,491,Cardiovascular diseases,1,Male,27,Age-standardized,1991,Rate,458.527599747006,470.086146496808,448.055384334765
1,Deaths,529,Connecticut,9,491,Cardiovascular diseases,1,Male,27,Age-standardized,1992,Rate,449.105848502451,460.403202505568,438.439133728155
1,Deaths,529,Connecticut,9,491,Cardiovascular diseases,1,Male,27,Age-standardized,1993,Rate,440.365254956202,450.952811978148,430.327861267548
1,Deaths,529,Connecticut,9,491,Cardiovascular diseases,1,Male,27,Age-standardized,1994,Rate,438.085744094807,449.223246630858,427.138987106233
1,Deaths,529,Connecticut,9,491,Cardiovascular diseases,1,Male,27,Age-standardized,1995,Rate,432.417618822257,442.711562612229,422.224086424795
1,Deaths,529,Connecticut,9,491,Cardiovascular diseases,1,Male,27,Age-standardized,1996,Rate,418.08801178017,428.994262216363,408.347373274112
1,Deaths,529,Connecticut,9,491,Cardiovascular diseases,1,Male,27,Age-standardized,1997,Rate,404.547660170193,414.969488793606,395.217287183158
1,Deaths,529,Connecticut,9,491,Cardiovascular diseases,1,Male,27,Age-standardized,1998,Rate,390.334801058697,399.665264472499,381.09296798494
1,Deaths,529,Connecticut,9,491,Cardiovascular diseases,1,Male,27,Age-standardized,1999,Rate,380.169908020563,389.39137859553,371.10943088378
1,Deaths,529,Connecticut,9,491,Cardiovascular diseases,1,Male,27,Age-standardized,2000,Rate,375.139207255872,384.252458331797,365.515524033955
1,Deaths,529,Connecticut,9,491,Cardiovascular diseases,1,Male,27,Age-standardized,2001,Rate,355.374689490852,363.972566452094,346.599780820831
1,Deaths,529,Connecticut,9,491,Cardiovascular diseases,1,Male,27,Age-standardized,2002,Rate,349.888241464277,358.164887580529,341.416470807931
