measure_id,measure_name,location_id,location_name,FIPS,cause_id,cause_name,sex_id,sex,age_id,age_name,year_id,metric,mx,upper,lower
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,1980,Rate,452.478971740468,469.194450546435,434.896164464948
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,1981,Rate,435.086539274386,451.051743322612,417.858547152705
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,1982,Rate,422.289102950904,437.56792636681,405.448342186295
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,1983,Rate,426.956441392857,443.327094766445,411.514000267902
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,1984,Rate,419.888394986212,434.440151965955,404.675557337294
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,1985,Rate,417.426219063828,432.484156878501,401.828302103092
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,1986,Rate,403.04220540389,417.295202510239,388.939474092792
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,1987,Rate,410.142750859988,424.925608806289,396.338812406911
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,1988,Rate,379.713486932919,392.123880150781,367.421073979145
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,1989,Rate,384.652549167274,398.026360734825,370.798210149164
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,1990,Rate,375.003253701617,388.364212151421,362.538616529044
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,1991,Rate,362.7607732674,375.141574045295,350.435319848231
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,1992,Rate,364.668997586587,377.876547358765,352.577633374117
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,1993,Rate,370.685212577671,383.635709832466,358.211729395113
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,1994,Rate,362.703082789682,375.093930917964,350.77987658505
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,1995,Rate,363.148945512846,376.602166183687,351.510722320381
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,1996,Rate,358.837887009414,370.662130014614,346.945242770083
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,1997,Rate,344.529371880485,355.969635294978,333.192714595943
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,1998,Rate,341.863510965744,353.765114917205,330.31312421219
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,1999,Rate,345.405012718096,356.841082632673,334.523159970449
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,2000,Rate,333.710685234141,344.690466078036,323.073993648082
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,2001,Rate,320.73684287564,331.956435163573,309.939760695598
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,2002,Rate,325.316992225999,335.291049341438,314.891684265038
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,2003,Rate,312.70730322899,323.270597788718,301.659479189968
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,2004,Rate,301.532920740344,311.852392428388,290.989156040754
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,2005,Rate,285.285074280584,295.266637551812,276.310940170104
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,2006,Rate,282.396551376737,291.626533621108,272.579550100455
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,2007,Rate,272.105120079576,281.020382993253,262.26214568132
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,2008,Rate,268.548366952737,277.579712539414,260.111916587241
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,2009,Rate,270.864369706999,280.743522482898,261.385450706972
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,2010,Rate,260.217764575736,268.606864116445,251.560493649298
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,2011,Rate,256.255700964079,264.987761953418,247.842486977395
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,2012,Rate,255.537043211324,264.317285681829,246.822502169383
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,2013,Rate,256.094504263086,264.942359209501,246.403390237161
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,1,Male,27,Age-standardized,2014,Rate,263.408430094754,272.426661645942,254.697744024575
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,2,Female,27,Age-standardized,1980,Rate,274.525990284121,288.098930470759,259.84492343813
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,2,Female,27,Age-standardized,1981,Rate,266.226539112512,279.343223661251,252.146228396142
1,Deaths,534,Hawaii,15,491,Cardiovascular diseases,2,Female,27,Age-standardized,1982,Rate,268.517272801868,281.786945482923,254.644056811046
