"measure_id","measure_name","location_id","location_name","FIPS","cause_id","cause_name","sex_id","sex","age_id","age_name","year_id","metric","mx","lower","upper"
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",1980,"Rate",2.59149856748569,2.2609375399296,2.93942786850017
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",1981,"Rate",2.52277443586188,2.20911815823888,2.86283500832534
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",1982,"Rate",2.32886151231498,2.06661534942125,2.62167732592608
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",1983,"Rate",2.06940577110004,1.83620420264205,2.31205091842293
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",1984,"Rate",2.0697090300806,1.83601204308113,2.3108786289013
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",1985,"Rate",1.95209627446813,1.76057159593871,2.1563741833885
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",1986,"Rate",1.73029774608299,1.5695096857292,1.90161760644707
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",1987,"Rate",1.6466316313723,1.50392451141547,1.7951815064174
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",1988,"Rate",1.55058110329326,1.42158643040046,1.69536473047486
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",1989,"Rate",1.48672841063603,1.36201551122201,1.62893744359155
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",1990,"Rate",1.44708940332415,1.31503595372383,1.58885107778136
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",1991,"Rate",1.3818641282267,1.26340552909231,1.52238595489707
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",1992,"Rate",1.27468919408475,1.16248696984088,1.39714375396305
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",1993,"Rate",1.36357934225508,1.2398566476669,1.50398294497254
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",1994,"Rate",1.27941103910863,1.16637529479583,1.40627496730451
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",1995,"Rate",1.25014049626411,1.14211159180261,1.37682322215345
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",1996,"Rate",1.15878471854877,1.0557794465456,1.27842432475002
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",1997,"Rate",1.11644326907927,1.00803954827701,1.23375367432641
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",1998,"Rate",0.991450553795279,0.891970681883309,1.10355930697333
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",1999,"Rate",0.925150375250973,0.829929156980933,1.02888363311205
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",2000,"Rate",0.764925023243079,0.680306078315441,0.850151712369278
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",2001,"Rate",0.719938980830708,0.643558792493047,0.801990840119517
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",2002,"Rate",0.6435957470375,0.576317706354551,0.72351426237861
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",2003,"Rate",0.587731206381962,0.522477553513472,0.659083909559806
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",2004,"Rate",0.565700935846753,0.507123172486151,0.635177311693706
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",2005,"Rate",0.508008676972985,0.450509241014751,0.573530894909966
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",2006,"Rate",0.480747526223729,0.423539765307341,0.542312359922495
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",2007,"Rate",0.441345144366388,0.39001158709221,0.496665679041534
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",2008,"Rate",0.439058981860242,0.382834544497179,0.502056718938172
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",2009,"Rate",0.416563219002232,0.364322554250836,0.471742332485136
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",2010,"Rate",0.387769435007733,0.340625431445126,0.443353015232745
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",2011,"Rate",0.36605489246304,0.317605461916006,0.419046418850648
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",2012,"Rate",0.35910210413671,0.311882806592715,0.412831776961072
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",2013,"Rate",0.341013396484702,0.296945664972408,0.391887216422377
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",1,"Male",27,"Age-standardized",2014,"Rate",0.34553492153407,0.297636798120398,0.402803148465327
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",1980,"Rate",1.04657824319142,0.897297736075949,1.20133981264924
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",1981,"Rate",1.04765337065561,0.924899274535004,1.17835304064894
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",1982,"Rate",1.07413651147328,0.955303006049719,1.21600761375433
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",1983,"Rate",0.99950270723135,0.889297167085092,1.11553404852226
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",1984,"Rate",0.936646047411247,0.835502358451059,1.04622023883909
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",1985,"Rate",0.952823651023669,0.855818902329228,1.0554054190675
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",1986,"Rate",0.919668578979222,0.831996961309964,1.01913934095817
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",1987,"Rate",0.851745825891432,0.77411095781387,0.936144894863728
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",1988,"Rate",0.862928584278771,0.785514192544959,0.946486854325731
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",1989,"Rate",0.795322578079553,0.726707148080999,0.873513223009974
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",1990,"Rate",0.780298378005321,0.710282009395198,0.858875025621499
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",1991,"Rate",0.751838278386289,0.682506968051862,0.824208299066643
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",1992,"Rate",0.722130045982488,0.658251184512913,0.794039747079484
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",1993,"Rate",0.678191784392798,0.620673934914293,0.743432596441645
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",1994,"Rate",0.688922571534571,0.631354302816084,0.754205819839666
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",1995,"Rate",0.651005960595345,0.596738630160762,0.711106860882494
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",1996,"Rate",0.663556716715092,0.606931787673117,0.727802953727835
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",1997,"Rate",0.598849683831575,0.542409696144982,0.659897357353754
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",1998,"Rate",0.547515739565478,0.49531445193258,0.602764640095766
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",1999,"Rate",0.479490609518499,0.433965092437406,0.524433194921131
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",2000,"Rate",0.428761023076802,0.387683972284121,0.477445911072214
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",2001,"Rate",0.397659555160835,0.358676467198586,0.440601648444978
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",2002,"Rate",0.38221253257196,0.342525651638307,0.424642108761591
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",2003,"Rate",0.351880361178268,0.315631508325332,0.392252680868808
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",2004,"Rate",0.301746537510578,0.271397262943872,0.332754433352063
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",2005,"Rate",0.282744339317284,0.252343048176956,0.313610768774299
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",2006,"Rate",0.264089693177237,0.235955868876959,0.294452602620067
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",2007,"Rate",0.257113576087904,0.229315987163977,0.288239408407834
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",2008,"Rate",0.244724903965969,0.218573048476579,0.273870991953254
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",2009,"Rate",0.225790680119864,0.200145386869762,0.253479696188825
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",2010,"Rate",0.219784629385261,0.193452678562813,0.248233292440732
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",2011,"Rate",0.218969740583889,0.190902828495698,0.248233873784383
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",2012,"Rate",0.215343014978952,0.188581110188456,0.244495514729323
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",2013,"Rate",0.218694255961319,0.190486389134192,0.250876697590028
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",2,"Female",27,"Age-standardized",2014,"Rate",0.202952971358575,0.17703906401641,0.231511446569153
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",1980,"Rate",1.66237770098485,1.4935837322465,1.84131618415261
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",1981,"Rate",1.63350223917048,1.48720511597627,1.79103075270529
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",1982,"Rate",1.56807293489435,1.4355110188191,1.7117612797921
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",1983,"Rate",1.41915867486121,1.30287685645092,1.55045525026662
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",1984,"Rate",1.38420901632392,1.27554283230214,1.50600560750097
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",1985,"Rate",1.34686998109402,1.23945224104476,1.4497466406917
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",1986,"Rate",1.24148571836741,1.14492994891937,1.33493204099155
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",1987,"Rate",1.16384736086974,1.07859613564485,1.25082199333573
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",1988,"Rate",1.13431662108562,1.05474260395856,1.21858855250081
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",1989,"Rate",1.06421869019239,0.991096463420271,1.14456750413136
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",1990,"Rate",1.03918460427354,0.963829982677755,1.1174565837322
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",1991,"Rate",0.993620786497031,0.921410167822863,1.06940537424422
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",1992,"Rate",0.937129037088852,0.871340723235421,1.00744091642794
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",1993,"Rate",0.939768136546679,0.87558796289577,1.005968625069
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",1994,"Rate",0.912947164154796,0.851546629592051,0.978798181918118
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",1995,"Rate",0.876514977052493,0.814750705216512,0.94041244762403
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",1996,"Rate",0.85103354467694,0.787190029322727,0.919930045199716
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",1997,"Rate",0.793807740561898,0.733253244809927,0.860928757875748
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",1998,"Rate",0.715891339973258,0.659970051368367,0.775335871756373
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",1999,"Rate",0.651876972320257,0.599342673080918,0.703150967637657
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",2000,"Rate",0.560472771648772,0.513100610514546,0.605642533555344
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",2001,"Rate",0.525745590077391,0.483050743619344,0.572215520773796
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",2002,"Rate",0.487001643016071,0.44814600330544,0.531274047893409
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",2003,"Rate",0.447864653029213,0.409022986630751,0.490520503921391
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",2004,"Rate",0.409121110951266,0.373719928736534,0.446624327423158
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",2005,"Rate",0.374726969130295,0.341965616562944,0.406253757912823
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",2006,"Rate",0.353825514768144,0.322131928150556,0.388001232493512
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",2007,"Rate",0.334128897873895,0.303621156687623,0.366105789415969
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",2008,"Rate",0.326280963844422,0.2946875895706,0.359024444537975
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",2009,"Rate",0.305446546349088,0.276942064989122,0.33682901835118
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",2010,"Rate",0.290323849550397,0.260248176482273,0.320911216838565
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",2011,"Rate",0.28110818730124,0.253492057514776,0.310480907411535
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",2012,"Rate",0.276223645268394,0.248996047052795,0.306480826123837
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",2013,"Rate",0.271536291783406,0.244833017170144,0.301572119670398
1,"Deaths",543,"Maryland",24,297,"Tuberculosis",3,"Both",27,"Age-standardized",2014,"Rate",0.263670999746461,0.236095363250226,0.294176101586167
