fips,total_pop_age_sex,median_age,sex_ratio_males,under_18_percent,over_18_percent,over_65_percent,county,state,total_hh,median_hh_income,mean_hh_income,total_families,median_family_income,mean_family_income,tot_pop_race_ethnicity,tot_white,tot_black_af_am,tot_aminalnat,tot_asian,tot_hawopi,total_pop_poverty,pop_below_poverty,percent_below_poverty,smoking_ban_2010,asian_2019,avg_family_size_2019,black_2019,hispanic_2019,household_has_broadband_2019,household_has_computer_2019,household_has_smartphone_2019,households_2019,households_speak_limited_english_2019,housing_mobile_homes_2019,hs_grad_2019,median_household_income_2019,median_individual_income_2019,native_2019,other_single_race_2019,pac_isl_2019,persons_per_household_2019,pop_2019,unemployment_rate_2019,uninsured_2019,veterans_2019,white_2019,white_not_hispanic_2019,Metro2013,rural_urban_continuum_code_2013,retirement_destination_2015_update,metro_adjacent_2013,female_2011_lower_bound_percent,female_2011_upper_bound_percent,male_2011_lower_bound_percent,male_2011_upper_bound_percent,average_2011_upper_bound_pct_obesity,FIPS,obesity_prev_100K
01001,55380.0,38.2,94.7,23.8,76.2,15.0,Autauga County, Alabama,21397.0,58731.0,75326.0,15076.0,71103.0,87094.0,55380.0,42527.0,10538.0,140.0,573.0,26.0,54922.0,8340.0,15.2,none,1.0,3.09,19.0,2.8,80.6,73.0,78.4,21397.0,0.7,26.7,88.5,58731.0,29725.0,0.3,0.7,0.0,2.56,55380.0,3.5,7.1,12.6,76.8,74.6,2.0,1.0,1.0,0.0,34.06,43.23,32.17,42.71,,1001,71.95292454140868
01003,212830.0,43.0,94.7,21.7,78.3,20.0,Baldwin County, Alabama,80930.0,58320.0,80986.0,53467.0,75850.0,97991.0,212830.0,183471.0,19718.0,1645.0,1969.0,9.0,209618.0,21704.0,10.4,none,0.9,3.24,9.3,4.6,81.8,76.3,81.7,80930.0,1.2,24.8,90.8,58320.0,29802.0,0.8,1.1,0.0,2.59,212830.0,4.0,8.9,11.8,86.2,83.1,3.0,1.0,1.0,0.0,29.93,36.74,29.93,38.63,,1003,58.78138655483232
01005,25361.0,40.4,112.4,20.9,79.1,18.6,Barbour County, Alabama,9345.0,32525.0,47068.0,6187.0,41704.0,56374.0,25361.0,11869.0,12066.0,82.0,134.0,1.0,22417.0,6875.0,30.7,partial,0.5,3.01,47.6,4.4,60.5,51.9,64.2,9345.0,1.6,39.1,73.2,32525.0,17963.0,0.3,3.6,0.0,2.41,25361.0,9.4,11.3,6.6,46.8,45.8,6.0,0.0,0.0,1.0,45.95,55.8,36.57,47.55,,1005,63.554733911826276
01007,22493.0,40.9,117.5,20.6,79.4,15.9,Bibb County, Alabama,6891.0,47542.0,60182.0,4789.0,57891.0,69316.0,22493.0,17272.0,5014.0,30.0,27.0,0.0,20632.0,3740.0,18.1,none,0.1,3.74,22.3,2.6,69.2,54.7,66.6,6891.0,0.6,25.6,79.1,47542.0,21958.0,0.1,0.0,0.0,2.99,22493.0,7.0,10.7,8.0,76.8,74.5,1.0,1.0,0.0,0.0,39.55,49.36,35.44,46.52,,1007,79.90120688227523
01009,57681.0,40.7,97.6,23.2,76.8,17.9,Blount County, Alabama,20847.0,49358.0,65639.0,14874.0,62295.0,76547.0,57681.0,55062.0,928.0,46.0,212.0,25.0,57108.0,7739.0,13.6,none,0.4,3.33,1.6,9.3,73.0,63.5,70.1,20847.0,1.8,21.2,80.5,49358.0,26976.0,0.1,0.9,0.0,2.74,57681.0,3.1,10.8,7.7,95.5,86.9,1.0,1.0,0.0,0.0,36.28,46.8,33.36,44.05,,1009,65.34468688966939
01011,10248.0,40.2,119.1,20.8,79.2,16.0,Bullock County, Alabama,3521.0,37785.0,48571.0,2504.0,43333.0,54751.0,10248.0,2244.0,7666.0,0.0,50.0,0.0,9784.0,2825.0,28.9,none,0.5,3.3,74.8,2.6,60.1,52.5,70.6,3521.0,1.4,28.9,74.7,37785.0,21571.0,0.0,2.0,0.0,2.79,10248.0,4.1,11.4,3.3,21.9,21.4,6.0,0.0,0.0,1.0,49.37,61.83,36.16,48.37,,1011,75.92140716123068
01013,19828.0,40.8,84.5,22.5,77.5,19.7,Butler County, Alabama,6506.0,40688.0,55971.0,4331.0,50503.0,65297.0,19828.0,10280.0,9001.0,11.0,69.0,0.0,19540.0,4397.0,22.5,comprehensive,0.3,3.78,45.4,1.4,64.6,60.5,57.1,6506.0,0.3,30.0,85.0,40688.0,19685.0,0.1,0.2,0.0,3.0,19828.0,7.0,8.7,6.6,51.8,51.6,6.0,0.0,0.0,1.0,45.35,54.63,34.78,45.89,,1013,77.7272820806658
01015,114618.0,39.6,92.7,21.8,78.2,17.2,Calhoun County, Alabama,44605.0,47255.0,63417.0,29960.0,59147.0,75584.0,114618.0,84439.0,23830.0,379.0,1014.0,14.0,111542.0,19969.0,17.9,comprehensive,0.9,3.03,20.8,3.8,75.1,67.8,74.9,44605.0,0.9,29.9,84.4,47255.0,24069.0,0.3,1.9,0.0,2.5,114618.0,7.2,9.5,10.8,73.7,72.1,3.0,1.0,0.0,0.0,37.22,44.61,34.15,42.9,,1015,74.3620658167231
01017,33660.0,42.0,91.6,21.0,79.0,19.2,Chambers County, Alabama,13448.0,42289.0,53505.0,8553.0,53567.0,61886.0,33660.0,19423.0,13316.0,112.0,376.0,0.0,33103.0,5711.0,17.3,none,1.1,3.1,39.6,2.4,69.4,58.6,68.7,13448.0,0.9,32.5,81.6,42289.0,22754.0,0.3,0.3,0.0,2.46,33660.0,4.0,10.3,7.9,57.7,55.5,6.0,0.0,0.0,1.0,42.28,51.74,35.9,46.43,,1017,69.67995301609953
01019,25903.0,46.5,97.3,20.2,79.8,22.4,Cherokee County, Alabama,10737.0,41919.0,57617.0,7307.0,55542.0,66438.0,25903.0,24052.0,1191.0,280.0,64.0,0.0,25571.0,3560.0,13.9,none,0.2,2.94,4.6,1.6,70.7,57.3,71.4,10737.0,1.1,22.7,81.6,41919.0,23121.0,1.1,0.4,0.0,2.39,25903.0,4.4,8.6,9.1,92.9,91.7,6.0,0.0,0.0,1.0,35.65,46.61,34.24,45.81,,1019,69.20881229311634
