fips,percent_below_poverty,smoking_ban_2010,unemployment_rate_2019,average_2011_upper_bound_pct_obesity,rural_urban_continuum_code_2013,labels_small
01001,15.2,none,3.5,42.97,2.0,3
01003,10.4,none,4.0,37.685,3.0,3
01005,30.7,partial,9.4,51.675,6.0,1
01007,18.1,none,7.0,47.94,1.0,1
01009,13.6,none,3.1,45.425,1.0,3
01011,28.9,none,4.1,55.1,6.0,1
01013,22.5,comprehensive,7.0,50.260000000000005,6.0,0
01015,17.9,comprehensive,7.2,43.755,3.0,0
01017,17.3,none,4.0,49.085,6.0,3
01019,13.9,none,4.4,46.21,6.0,3
01021,19.1,none,6.5,48.57,1.0,1
01023,23.3,none,8.7,50.445,9.0,1
01025,23.2,none,11.6,49.255,7.0,1
01027,17.9,none,5.6,47.695,9.0,1
01029,17.3,none,5.4,45.04,8.0,3
01031,15.1,none,5.6,44.34,4.0,3
01033,15.5,none,4.1,45.145,3.0,3
01035,17.6,none,9.7,50.905,7.0,1
01037,13.5,none,2.3,50.91,8.0,3
01039,18.6,none,7.8,45.895,6.0,1
01041,15.2,none,3.4,48.455,8.0,3
01043,14.9,none,4.3,44.23,4.0,3
01045,17.6,none,7.0,46.5,4.0,1
01047,29.1,none,11.5,52.74,4.0,1
01049,21.1,none,3.7,44.760000000000005,6.0,3
01051,11.5,partial,4.0,42.73,2.0,2
01053,22.2,none,11.5,47.845,6.0,1
01055,17.4,none,5.4,42.625,3.0,3
01057,19.4,none,6.6,47.92,6.0,1
01059,19.4,partial,3.9,44.265,6.0,2
01061,22.0,none,5.2,47.83,3.0,1
01063,38.1,comprehensive,12.3,56.98,8.0,1
01065,24.2,none,10.7,54.555,3.0,1
01067,13.8,none,5.2,49.745000000000005,3.0,3
01069,18.2,none,6.2,44.765,3.0,3
01071,18.6,comprehensive,5.0,44.34,6.0,0
01073,16.0,none,6.0,41.625,1.0,3
01075,20.6,none,7.6,44.7,8.0,1
01077,14.6,none,4.4,41.405,3.0,3
01079,18.0,none,4.7,48.56,3.0,3
01081,19.6,none,4.6,43.04,3.0,3
01083,13.6,none,6.0,45.5,2.0,3
01085,26.8,none,9.3,54.5,2.0,1
01087,24.4,none,11.0,52.39,6.0,1
01089,12.5,comprehensive,4.6,39.72,2.0,0
01091,21.9,none,7.6,50.79,7.0,1
01093,17.5,none,4.9,44.095,7.0,3
01095,20.3,partial,4.1,43.155,4.0,2
01097,18.8,none,5.5,43.27,2.0,3
01099,27.9,none,15.5,49.71,7.0,1
01101,19.4,none,6.2,44.765,2.0,3
01103,14.6,partial,4.9,43.790000000000006,3.0,2
01105,30.8,none,9.2,56.23,8.0,1
01107,22.7,none,10.3,50.260000000000005,3.0,1
01109,24.4,none,6.3,47.89,6.0,1
01111,16.9,none,4.2,47.25,6.0,3
01113,20.7,none,6.1,50.385,2.0,1
01115,12.2,none,5.1,45.13,1.0,3
01117,7.5,comprehensive,3.1,38.9,1.0,0
