fips,total_pop_age_sex,median_age,sex_ratio_males,under_18_percent,over_18_percent,over_65_percent,county,state,total_hh,median_hh_income,mean_hh_income,total_families,median_family_income,mean_family_income,tot_pop_race_ethnicity,tot_white,tot_black_af_am,tot_aminalnat,tot_asian,tot_hawopi,total_pop_poverty,pop_below_poverty,percent_below_poverty,smoking_ban_2010,asian_2019,avg_family_size_2019,black_2019,hispanic_2019,household_has_broadband_2019,household_has_computer_2019,household_has_smartphone_2019,households_2019,households_speak_limited_english_2019,housing_mobile_homes_2019,hs_grad_2019,median_household_income_2019,median_individual_income_2019,native_2019,other_single_race_2019,pac_isl_2019,persons_per_household_2019,pop_2019,unemployment_rate_2019,uninsured_2019,veterans_2019,white_2019,white_not_hispanic_2019,rural_urban_continuum_code_2013,Metro2013,retirement_destination_2015_update,metro_adjacent_2013,average_2011_upper_bound_pct_obesity,FIPS,heart_disease_prev_100K
48001,57810.0,39.3,155.7,19.5,80.5,14.3,Anderson County, Texas,16677.0,43455.0,56912.0,11602.0,53519.0,64282.0,57810.0,42217.0,12124.0,317.0,321.0,9.0,44348.0,6598.0,14.9,none,0.6,3.21,21.0,17.8,67.9,63.0,73.9,16677.0,3.2,30.4,81.3,43455.0,23143.0,0.5,3.3,0.0,2.66,57810.0,3.3,14.5,8.7,73.0,58.9,7.0,0.0,0.0,0.0,43.665,48001,68.34924922126271
48003,18036.0,30.8,103.5,31.5,68.5,10.0,Andrews County, Texas,5573.0,76158.0,92927.0,4273.0,83799.0,102156.0,18036.0,16108.0,122.0,0.0,65.0,31.0,17927.0,1647.0,9.2,none,0.4,3.73,0.7,56.3,86.2,71.6,84.1,5573.0,10.2,25.9,72.3,76158.0,33373.0,0.0,6.1,0.2,3.22,18036.0,3.9,19.8,5.5,89.3,40.2,6.0,0.0,0.0,1.0,46.545,48003,69.64606425255826
48005,87322.0,37.5,95.3,25.7,74.3,15.9,Angelina County, Texas,31035.0,50453.0,63164.0,22700.0,57524.0,70829.0,87322.0,69651.0,12890.0,490.0,975.0,5.0,84680.0,15026.0,17.7,none,1.1,3.17,14.8,22.1,82.3,71.1,78.1,31035.0,2.7,33.8,81.9,50453.0,24657.0,0.6,2.2,0.0,2.72,87322.0,6.2,18.8,8.8,79.8,60.5,5.0,0.0,0.0,0.0,45.275,48005,76.48495019760193
48007,24462.0,50.6,94.8,18.8,81.2,27.4,Aransas County, Texas,9548.0,45137.0,75855.0,6132.0,58299.0,86457.0,24462.0,22115.0,354.0,53.0,489.0,0.0,24070.0,5127.0,21.3,none,2.0,3.16,1.4,27.5,81.8,77.5,78.1,9548.0,2.8,19.8,84.5,45137.0,21631.0,0.2,1.9,0.0,2.52,24462.0,7.5,20.0,12.1,90.4,67.4,2.0,1.0,1.0,0.0,43.945,48007,52.75595470664785
48009,8716.0,44.5,99.5,21.7,78.3,19.5,Archer County, Texas,3452.0,63835.0,83749.0,2402.0,83672.0,99886.0,8716.0,8315.0,83.0,96.0,15.0,0.0,8647.0,1033.0,11.9,none,0.2,3.04,1.0,8.3,75.4,70.5,80.0,3452.0,2.1,16.3,90.3,63835.0,32611.0,1.1,0.5,0.0,2.5,8716.0,2.6,12.9,8.8,95.4,88.3,3.0,1.0,0.0,0.0,43.56,48009,54.97848720091269
48011,1973.0,46.0,99.1,23.1,76.9,21.5,Armstrong County, Texas,694.0,72500.0,83298.0,555.0,79479.0,95079.0,1973.0,1833.0,5.0,22.0,0.0,0.0,1900.0,174.0,9.2,none,0.0,3.08,0.3,7.6,81.6,78.4,79.1,694.0,1.0,12.0,86.9,72500.0,31212.0,1.1,2.1,0.0,2.76,1973.0,0.7,7.3,11.2,92.9,89.4,2.0,1.0,0.0,0.0,41.705,48011,56.04347420273755
48013,49528.0,35.4,99.7,27.5,72.5,14.3,Atascosa County, Texas,15546.0,55366.0,72059.0,11842.0,60968.0,78815.0,49528.0,45761.0,135.0,122.0,173.0,0.0,48704.0,7196.0,14.8,none,0.3,3.66,0.3,64.3,80.2,63.4,83.0,15546.0,7.1,24.7,77.1,55366.0,24278.0,0.2,2.0,0.0,3.16,49528.0,8.2,17.9,8.9,92.4,33.3,1.0,1.0,1.0,0.0,44.615,48013,68.12589895122626
48015,29764.0,40.7,97.3,24.0,76.0,18.7,Austin County, Texas,11301.0,66206.0,78664.0,8434.0,78195.0,88387.0,29764.0,23146.0,2684.0,45.0,111.0,0.0,29491.0,3583.0,12.1,none,0.4,3.05,9.0,26.8,74.3,69.8,78.3,11301.0,3.0,23.8,84.0,66206.0,30570.0,0.2,9.9,0.0,2.61,29764.0,6.2,13.9,5.8,77.8,62.2,1.0,1.0,1.0,0.0,44.195,48015,66.22283279098272
48017,7100.0,33.3,103.5,29.0,71.0,13.9,Bailey County, Texas,2054.0,52273.0,65794.0,1439.0,62517.0,77194.0,7100.0,5949.0,46.0,80.0,57.0,0.0,6743.0,590.0,8.7,none,0.8,3.84,0.6,62.1,70.5,67.3,78.8,2054.0,8.1,25.4,76.9,52273.0,25217.0,1.1,13.6,0.0,3.35,7100.0,2.3,21.2,4.9,83.8,35.5,7.0,0.0,0.0,0.0,45.71,48017,57.1538617416458
48019,22215.0,52.2,101.5,17.1,82.9,26.4,Bandera County, Texas,8399.0,58661.0,73521.0,5852.0,67216.0,83910.0,22215.0,19990.0,154.0,262.0,62.0,0.0,21998.0,3455.0,15.7,none,0.3,3.07,0.7,18.8,81.8,78.5,76.4,8399.0,1.3,15.0,89.3,58661.0,24939.0,1.2,1.3,0.0,2.59,22215.0,4.2,17.3,14.5,90.0,77.8,1.0,1.0,1.0,0.0,42.93,48019,48.909662177936006
48021,84522.0,38.4,102.6,25.5,74.5,14.6,Bastrop County, Texas,25571.0,64597.0,82676.0,18606.0,76371.0,91363.0,84522.0,57462.0,6298.0,398.0,739.0,0.0,82161.0,9230.0,11.2,none,0.9,3.8,7.5,37.7,80.4,74.1,79.5,25571.0,2.5,22.3,81.9,64597.0,30057.0,0.5,20.6,0.0,3.22,84522.0,5.4,16.3,11.2,68.0,52.3,1.0,1.0,1.0,0.0,43.095,48021,57.613200394784535
48023,3577.0,45.9,95.4,20.9,79.1,24.2,Baylor County, Texas,1530.0,40739.0,52436.0,938.0,58214.0,67206.0,3577.0,3291.0,123.0,9.0,0.0,40.0,3461.0,406.0,11.7,none,0.0,2.93,3.4,8.5,74.7,71.3,68.8,1530.0,0.6,27.6,85.5,40739.0,22319.0,0.3,2.6,1.1,2.29,3577.0,2.7,14.6,7.8,92.0,86.6,8.0,0.0,0.0,1.0,41.98,48023,67.9043128178182
48025,32611.0,35.3,156.9,21.2,78.8,12.0,Bee County, Texas,8269.0,44578.0,63623.0,5752.0,49952.0,71182.0,32611.0,28172.0,2399.0,164.0,176.0,4.0,24846.0,5120.0,20.6,none,0.5,3.72,7.4,58.9,62.9,61.3,76.5,8269.0,2.8,37.3,75.4,44578.0,20371.0,0.5,1.7,0.0,3.0,32611.0,9.0,19.2,8.9,86.4,31.4,6.0,0.0,0.0,1.0,47.05,48025,61.36103866726421
48027,348574.0,31.0,99.5,27.8,72.2,10.6,Bell County, Texas,122689.0,54884.0,71507.0,84974.0,64505.0,80881.0,348574.0,220872.0,84435.0,1969.0,10282.0,2392.0,337083.0,46752.0,13.9,none,2.9,3.34,24.2,24.8,85.0,81.1,82.2,122689.0,3.0,45.7,91.0,54884.0,29284.0,0.6,2.8,0.7,2.75,348574.0,7.3,12.1,21.4,63.4,45.8,2.0,1.0,1.0,0.0,40.505,48027,63.606353957864286
48029,1952843.0,33.6,97.5,25.7,74.3,11.8,Bexar County, Texas,636245.0,57157.0,78311.0,421257.0,68037.0,90079.0,1952843.0,1549704.0,149706.0,14054.0,55742.0,2288.0,1919412.0,301755.0,15.7,none,2.9,3.78,7.7,60.2,81.3,74.4,83.4,636245.0,6.8,41.5,84.2,57157.0,27976.0,0.7,5.9,0.1,3.02,1952843.0,4.9,15.2,10.2,79.4,27.7,1.0,1.0,0.0,0.0,42.055,48029,59.82199390682619
48031,11478.0,50.4,106.9,18.3,81.7,25.0,Blanco County, Texas,4343.0,66390.0,92547.0,3139.0,70767.0,105287.0,11478.0,10256.0,3.0,194.0,165.0,42.0,11265.0,1015.0,9.0,none,1.4,3.05,0.0,19.4,85.3,79.8,82.3,4343.0,1.7,21.4,90.1,66390.0,30193.0,1.7,3.5,0.4,2.62,11478.0,5.8,16.6,12.2,89.4,77.0,8.0,0.0,1.0,1.0,38.78,48031,57.02481462429368
48033,613.0,41.7,91.6,29.2,70.8,27.2,Borden County, Texas,227.0,72188.0,88236.0,166.0,96071.0,100122.0,613.0,598.0,0.0,0.0,0.0,0.0,613.0,16.0,2.6,,0.0,3.28,0.0,13.7,79.7,81.1,83.7,227.0,0.0,24.2,94.7,72188.0,35926.0,0.0,0.0,0.0,2.7,613.0,2.0,5.5,7.8,97.6,83.8,8.0,0.0,0.0,1.0,42.66,48033,45.77350215042083
48035,18296.0,46.6,97.1,21.3,78.7,24.6,Bosque County, Texas,7211.0,52148.0,67280.0,5347.0,61222.0,75070.0,18296.0,17318.0,301.0,105.0,100.0,0.0,17890.0,2823.0,15.8,none,0.5,2.88,1.6,18.3,74.7,68.9,75.9,7211.0,2.4,22.6,86.5,52148.0,26155.0,0.6,0.7,0.0,2.49,18296.0,3.5,17.3,8.3,94.7,77.8,6.0,0.0,1.0,1.0,43.74,48035,65.98887765876201
48037,93373.0,38.0,101.2,23.7,76.3,16.4,Bowie County, Texas,34076.0,50164.0,71353.0,23034.0,62071.0,85335.0,93373.0,64586.0,22879.0,879.0,983.0,44.0,87652.0,14534.0,16.6,none,1.1,3.19,24.5,7.6,72.4,65.4,71.1,34076.0,0.8,36.5,88.8,50164.0,27641.0,0.9,1.5,0.0,2.57,93373.0,5.6,13.8,10.0,69.2,63.8,3.0,1.0,0.0,0.0,43.885,48037,71.21365817682278
48039,360677.0,35.8,102.2,26.5,73.5,11.6,Brazoria County, Texas,121523.0,81447.0,100131.0,88881.0,94650.0,113327.0,360677.0,261164.0,50437.0,2401.0,24110.0,47.0,348507.0,30317.0,8.7,none,6.7,3.41,14.0,30.6,87.1,80.5,86.1,121523.0,4.0,27.9,87.9,81447.0,40496.0,0.7,4.0,0.0,2.87,360677.0,4.1,14.0,6.6,72.4,47.2,1.0,1.0,0.0,0.0,40.375,48039,59.150738711031806
48041,222981.0,26.5,102.1,20.6,79.4,8.9,Brazos County, Texas,79412.0,49181.0,73324.0,44793.0,72223.0,96734.0,222981.0,171189.0,23807.0,798.0,13711.0,123.0,207176.0,50496.0,24.4,none,6.1,3.18,10.7,25.6,81.9,81.9,87.6,79412.0,5.6,52.9,87.2,49181.0,24118.0,0.4,3.0,0.1,2.61,222981.0,3.6,12.3,4.7,76.8,55.8,3.0,1.0,1.0,0.0,40.905,48041,57.88280649426207
48043,9231.0,43.7,101.4,19.2,80.8,22.4,Brewster County, Texas,4088.0,47080.0,63082.0,2233.0,65841.0,82612.0,9231.0,8352.0,19.0,225.0,170.0,0.0,8987.0,1254.0,14.0,none,1.8,2.96,0.2,44.8,76.5,68.7,75.3,4088.0,7.6,42.2,85.7,47080.0,27435.0,2.4,2.4,0.0,2.23,9231.0,4.2,16.0,9.1,90.5,50.3,7.0,0.0,0.0,0.0,41.065,48043,50.9536417564782
