County,County Code,Year,count_hwDays_onDailyMaxTemp,count_hwDays_onDailyMaxHeatIndex,count_hwDays_onDailyNetHeatStress,state
"Anderson County, TX",48001,1981-01-01,0,6,6,TX
"Anderson County, TX",48001,1982-01-01,6,0,0,TX
"Anderson County, TX",48001,1983-01-01,0,0,0,TX
"Anderson County, TX",48001,1984-01-01,7,2,0,TX
"Anderson County, TX",48001,1985-01-01,4,0,0,TX
"Anderson County, TX",48001,1986-01-01,4,3,0,TX
"Anderson County, TX",48001,1987-01-01,3,0,0,TX
"Anderson County, TX",48001,1988-01-01,4,4,8,TX
"Anderson County, TX",48001,1989-01-01,0,0,0,TX
"Anderson County, TX",48001,1990-01-01,0,2,3,TX
"Anderson County, TX",48001,1991-01-01,0,0,0,TX
"Anderson County, TX",48001,1992-01-01,0,2,2,TX
"Anderson County, TX",48001,1993-01-01,0,0,0,TX
"Anderson County, TX",48001,1994-01-01,0,0,0,TX
"Anderson County, TX",48001,1995-01-01,0,6,10,TX
"Anderson County, TX",48001,1996-01-01,5,0,4,TX
"Anderson County, TX",48001,1997-01-01,0,0,0,TX
"Anderson County, TX",48001,1998-01-01,36,22,26,TX
"Anderson County, TX",48001,1999-01-01,4,3,3,TX
"Anderson County, TX",48001,2000-01-01,27,6,6,TX
"Anderson County, TX",48001,2001-01-01,0,0,0,TX
"Anderson County, TX",48001,2002-01-01,0,0,0,TX
"Anderson County, TX",48001,2003-01-01,2,4,5,TX
"Anderson County, TX",48001,2004-01-01,0,0,2,TX
"Anderson County, TX",48001,2005-01-01,0,9,7,TX
"Anderson County, TX",48001,2006-01-01,17,15,16,TX
"Anderson County, TX",48001,2007-01-01,0,4,7,TX
"Anderson County, TX",48001,2008-01-01,8,7,5,TX
"Anderson County, TX",48001,2009-01-01,59,37,29,TX
"Anderson County, TX",48001,2010-01-01,17,33,32,TX
"Andrews County, TX",48003,1981-01-01,6,6,3,TX
"Andrews County, TX",48003,1982-01-01,0,0,2,TX
"Andrews County, TX",48003,1983-01-01,7,2,0,TX
"Andrews County, TX",48003,1984-01-01,0,0,0,TX
"Andrews County, TX",48003,1985-01-01,0,0,2,TX
"Andrews County, TX",48003,1986-01-01,0,0,0,TX
